Player,Season,Age,Nation,Club,Matchs_played,Minutes_played,Titular_played,Goals,Assists,Position,Value,Preferred Foot,Height,Weight
Jefferson Lerma,2023-2024,28.0,Colombia,Crystal Palace,28,2400,27,1,1,MF,,,,
Joachim Andersen,2023-2024,27.0,Denmark,Crystal Palace,38,3415,38,2,3,DF,,,,
Joe Gomez,2023-2024,26.0,England,Liverpool,32,1786,17,0,1,DF,,,,
Joel Ward,2023-2024,33.0,England,Crystal Palace,26,1980,23,0,1,DF,,,,
Jonny Evans,2023-2024,35.0,Northern Ireland,Manchester Utd,23,1392,15,0,1,DF,,,,
Jordan Beyer,2023-2024,23.0,Germany,Burnley,15,1234,15,0,1,DF,,,,
Joël Matip,2023-2024,31.0,Cameroon,Liverpool,10,781,9,0,0,DF,,,,
Joël Veltman,2023-2024,31.0,Netherlands,Brighton,27,1588,17,1,1,DF,,,,
Joško Gvardiol,2023-2024,21.0,Croatia,Manchester City,28,2328,26,4,1,DF,,,,
Keane Lewis-Potter,2023-2024,22.0,England,Brentford,30,1441,15,3,1,FW,,,,
Kenny Tete,2023-2024,27.0,Netherlands,Fulham,14,867,10,1,0,DF,,,,
Kieran Trippier,2023-2024,32.0,England,Newcastle Utd,28,2236,26,1,10,DF,,,,
Konstantinos Mavropanos,2023-2024,25.0,Greece,West Ham,19,1500,16,1,0,DF,,,,
Kostas Tsimikas,2023-2024,27.0,Greece,Liverpool,13,679,8,0,3,DF,,,,
Kristoffer Ajer,2023-2024,25.0,Norway,Brentford,28,1832,21,2,1,DF,,,,
Kurt Zouma,2023-2024,28.0,France,West Ham,33,2838,32,3,0,DF,,,,
Kyle Walker,2023-2024,33.0,England,Manchester City,32,2767,30,0,4,DF,,,,
Levi Colwill,2023-2024,20.0,England,Chelsea,23,1797,20,1,1,DF,,,,
Lewis Dunk,2023-2024,31.0,England,Brighton,33,2869,33,3,1,DF,,,,
Lewis Hall,2023-2024,18.0,England,Newcastle Utd,18,781,8,1,0,DF,,,,
Lisandro Martínez,2023-2024,25.0,Argentina,Manchester Utd,11,646,8,0,1,DF,,,,
Lloyd Kelly,2023-2024,24.0,England,Bournemouth,23,1559,17,0,1,DF,,,,
Lorenz Assignon,2023-2024,23.0,Togo,Burnley,15,1234,15,1,2,DF,,,,
Lucas Digne,2023-2024,30.0,France,Aston Villa,33,2410,27,1,3,DF,,,,
Luke Berry,2023-2024,31.0,England,Luton Town,17,323,2,2,1,MF,,,,
Luke Shaw,2023-2024,28.0,England,Manchester Utd,12,959,12,0,0,DF,,,,
Luke Thomas,2023-2024,22.0,England,Sheffield Utd,12,917,11,0,0,DF,,,,
Mads Roerslev,2023-2024,24.0,Denmark,Brentford,34,1985,22,1,2,DF,,,,
Malo Gusto,2023-2024,20.0,France,Chelsea,27,1751,19,0,6,DF,,,,
Manuel Akanji,2023-2024,28.0,Switzerland,Manchester City,30,2511,28,2,0,DF,,,,
Marc Cucurella,2023-2024,25.0,Spain,Chelsea,21,1782,20,0,2,DF,,,,
Marc Guéhi,2023-2024,23.0,England,Crystal Palace,25,2021,23,0,1,DF,,,,
Marcos Senesi,2023-2024,26.0,Argentina,Bournemouth,31,2242,26,4,5,DF,,,,
Mason Holgate,2023-2024,26.0,Jamaica,Sheffield Utd,10,710,9,0,0,DF,,,,
Mathias Jørgensen,2023-2024,33.0,Denmark,Brentford,14,1087,12,1,0,DF,,,,
Matt Doherty,2023-2024,31.0,Ireland,Wolves,30,1150,9,1,0,DF,,,,
Matty Cash,2023-2024,25.0,Poland,Aston Villa,29,2142,23,2,2,DF,,,,
Max Aarons,2023-2024,23.0,England,Bournemouth,20,1237,13,0,1,DF,,,,
Max Kilman,2023-2024,26.0,England,Wolves,38,3420,38,2,0,DF,,,,
Max Lowe,2023-2024,26.0,England,Sheffield Utd,10,503,4,0,0,DF,,,,
Maxime Estève,2023-2024,21.0,France,Burnley,16,1309,15,0,0,DF,,,,
Micky van de Ven,2023-2024,22.0,Netherlands,Tottenham,27,2339,27,3,0,DF,,,,
Milos Kerkez,2023-2024,19.0,Hungary,Bournemouth,28,1970,22,0,1,DF,,,,
Moussa Niakhate,2023-2024,27.0,Senegal,Nott'ham Forest,21,1460,15,1,0,DF,,,,
Murillo,2023-2024,21.0,Brazil,Nott'ham Forest,32,2789,32,0,2,DF,,,,
Nathan Aké,2023-2024,28.0,Netherlands,Manchester City,29,2042,24,2,2,DF,,,,
Nathan Collins,2023-2024,22.0,Ireland,Brentford,32,2652,29,1,1,DF,,,,
Nathan Patterson,2023-2024,21.0,Scotland,Everton,20,1005,9,0,2,DF,,,,
Nathaniel Clyne,2023-2024,32.0,England,Crystal Palace,19,1338,14,0,0,DF,,,,
Nayef Aguerd,2023-2024,27.0,Morocco,West Ham,21,1857,21,1,0,DF,,,,
Neco Williams,2023-2024,22.0,Wales,Nott'ham Forest,26,1637,18,0,1,DF,,,,
Nuno Tavares,2023-2024,23.0,Portugal,Nott'ham Forest,8,457,5,0,0,DF,,,,
Nélson Semedo,2023-2024,29.0,Portugal,Wolves,36,3084,36,0,1,DF,,,,
Ola Aina,2023-2024,26.0,Nigeria,Nott'ham Forest,22,1692,20,1,1,DF,,,,
Oleksandr Zinchenko,2023-2024,26.0,Ukraine,Arsenal,27,1722,20,1,2,DF,,,,
Oliver Skipp,2023-2024,22.0,England,Tottenham,21,707,5,0,0,MF,,,,
Pascal Groß,2023-2024,32.0,Germany,Brighton,36,3114,34,4,10,MF,,,,
Pau Torres,2023-2024,26.0,Spain,Aston Villa,29,2464,27,2,0,DF,,,,
Pedro Porro,2023-2024,23.0,Spain,Tottenham,35,3089,35,3,7,DF,,,,
Pervis Estupiñán,2023-2024,25.0,Ecuador,Brighton,19,1243,15,2,3,DF,,,,
Raphaël Varane,2023-2024,30.0,France,Manchester Utd,22,1375,16,1,0,DF,,,,
Rayan Aït-Nouri,2023-2024,22.0,Algeria,Wolves,33,2329,29,2,1,DF,,,,
Reece Burke,2023-2024,26.0,England,Luton Town,22,1660,20,0,4,DF,,,,
Reece James,2023-2024,23.0,England,Chelsea,10,419,5,0,2,DF,,,,
Rico Lewis,2023-2024,18.0,England,Manchester City,16,809,8,2,0,DF,,,,
Ryan Giles,2023-2024,23.0,England,Luton Town,11,503,5,0,0,DF,,,,
Rúben Dias,2023-2024,26.0,Portugal,Manchester City,30,2559,28,0,0,DF,,,,
Saman Ghoddos,2023-2024,29.0,Iran,Brentford,19,739,7,1,0,DF,,,,
Santiago Bueno,2023-2024,24.0,Uruguay,Wolves,12,822,9,0,0,DF,,,,
Serge Aurier,2023-2024,30.0,Ivory Coast,Nott'ham Forest,12,833,10,0,2,DF,,,,
Sergio Reguilón,2023-2024,26.0,Spain,2 Teams,25,1530,18,0,4,DF,,,,
Sofyan Amrabat,2023-2024,26.0,Morocco,Manchester Utd,21,938,10,0,0,MF,,,,
Solly March,2023-2024,29.0,England,Brighton,7,554,7,3,1,FW,,,,
Sven Botman,2023-2024,23.0,Netherlands,Newcastle Utd,17,1377,15,2,2,DF,,,,
Séamus Coleman,2023-2024,34.0,Ireland,Everton,12,665,7,0,0,DF,,,,
Takehiro Tomiyasu,2023-2024,24.0,Japan,Arsenal,22,1149,10,2,1,DF,,,,
Tariq Lamptey,2023-2024,22.0,Ghana,Brighton,19,914,10,0,3,DF,,,,
Teden Mengi,2023-2024,21.0,England,Luton Town,30,2469,28,1,0,DF,,,,
Thiago Silva,2023-2024,38.0,Brazil,Chelsea,31,2527,28,3,1,DF,,,,
Thomas Partey,2023-2024,30.0,Ghana,Arsenal,14,788,9,0,0,MF,,,,
Tim Ream,2023-2024,35.0,United States,Fulham,18,1503,17,1,0,DF,,,,
Timothy Castagne,2023-2024,27.0,Belgium,Fulham,34,2634,29,1,3,DF,,,,
Tom Lockyer,2023-2024,28.0,Wales,Luton Town,14,1169,14,1,1,DF,,,,
Tosin Adarabioyo,2023-2024,25.0,England,Fulham,20,1617,18,2,0,DF,,,,
Toti Gomes,2023-2024,24.0,Portugal,Wolves,35,2772,31,1,3,DF,,,,
Trent Alexander-Arnold,2023-2024,24.0,England,Liverpool,28,2155,25,3,4,DF,,,,
Trevoh Chalobah,2023-2024,24.0,England,Chelsea,13,952,10,1,0,DF,,,,
Tyrick Mitchell,2023-2024,23.0,England,Crystal Palace,37,3204,37,2,3,DF,,,,
Valentino Livramento,2023-2024,20.0,England,Newcastle Utd,26,1314,12,1,0,DF,,,,
Valentín Barco,2023-2024,19.0,Argentina,Brighton,6,307,3,0,0,DF,,,,
Victor Lindelöf,2023-2024,29.0,Sweden,Manchester Utd,19,1328,14,1,1,DF,,,,
Virgil van Dijk,2023-2024,32.0,Netherlands,Liverpool,36,3177,36,2,2,DF,,,,
Vitaliy Mykolenko,2023-2024,24.0,Ukraine,Everton,28,2469,28,2,0,DF,,,,
Vitaly Janelt,2023-2024,25.0,Germany,Brentford,38,3054,37,1,3,MF,,,,
Vitinho,2023-2024,24.0,Brazil,Burnley,32,2314,26,0,2,DF,,,,
Vladimír Coufal,2023-2024,30.0,Czech Republic,West Ham,36,3132,36,0,7,DF,,,,
William Saliba,2023-2024,22.0,France,Arsenal,38,3420,38,2,1,DF,,,,
Willy Boly,2023-2024,32.0,Ivory Coast,Nott'ham Forest,20,1438,18,2,1,DF,,,,
Yasser Larouci,2023-2024,22.0,Algeria,Sheffield Utd,11,531,6,0,0,DF,,,,
Álex Moreno,2023-2024,30.0,Spain,Aston Villa,21,1031,11,2,0,DF,,,,
