Name,Age,Nationality,Club,Value,Preferred Foot,Height,Weight
A. Mac Allister,23,Argentina,Brighton & Hove Albion,€12M,Right,176cm,72kg
Reguilón,25,Spain,Tottenham Hotspur,€25.5M,Left,178cm,68kg
J. Grealish,26,England,Manchester City,€49.5M,Right,180cm,81kg
Emerson Royal,23,Brazil,Tottenham Hotspur,€18.5M,Right,181cm,79kg
Thiago Silva,37,Brazil,Chelsea,€12M,Right,183cm,79kg
S. Coleman,33,Republic of Ireland,Everton,€3.9M,Right,177cm,77kg
M. Doherty,30,Republic of Ireland,Tottenham Hotspur,€9M,Right,182cm,87kg
W. Zaha,29,Côte d'Ivoire,Crystal Palace,€30M,Right,180cm,66kg
N. Vlašić,24,Croatia,West Ham United,€21M,Right,178cm,79kg
T. Malacia,22,Netherlands,Manchester United,€26.5M,Left,169cm,67kg
22 B. Mendy,26,France,Manchester City,€19M,Left,185cm,85kg
Kenedy,26,Brazil,Chelsea,€9M,Left,182cm,77kg
J. Willock,22,England,Newcastle United,€12.5M,Right,179cm,71kg
Joelinton,25,Brazil,Newcastle United,€7.5M,Right,186cm,81kg
C. Eriksen,30,Denmark,Manchester United,€29M,Right,181cm,76kg
A. Lallana,34,England,Brighton & Hove Albion,€2.6M,Right,178cm,73kg
I. Toney,26,England,Brentford,€13M,Right,187cm,76kg
Cédric,30,Portugal,Arsenal,€4.8M,Right,172cm,67kg
J. Bowen,25,England,West Ham United,€28M,Left,175cm,70kg
B. Davies,29,Wales,Tottenham Hotspur,€14.5M,Left,181cm,76kg
J. Ayew,30,Ghana,Crystal Palace,€5.5M,Right,182cm,81kg
E. Dier,28,England,Tottenham Hotspur,€20M,Right,190cm,90kg
O. Watkins,26,England,Aston Villa,€18.5M,Right,180cm,78kg
J. Guðmundsson,31,Iceland,Burnley,€1.9M,Left,179cm,77kg
R. Loftus-Cheek,26,England,Chelsea,€9.5M,Right,191cm,88kg
F. Schär,30,Switzerland,Newcastle United,€8.5M,Right,188cm,84kg
J. Shelvey,30,England,Newcastle United,€10M,Right,184cm,80kg
Jonny,28,Spain,Wolverhampton Wanderers,€16M,Right,170cm,70kg
B. Decordova-Reid,29,Jamaica,Fulham,€4.1M,Right,170cm,68kg
N. Aké,27,Netherlands,Manchester City,€15M,Left,180cm,75kg
André Gomes,28,Portugal,Everton,€5.5M,Right,188cm,84kg
J. Sancho,22,England,Manchester United,€61.5M,Right,180cm,76kg
M. Almirón,28,Paraguay,Newcastle United,€14M,Left,174cm,70kg
M. Lanzini,29,Argentina,West Ham United,€17M,Right,167cm,59kg
B. Mbeumo,22,Cameroon,Brentford,€9M,Left,171cm,75kg
B. Kamara,22,France,Aston Villa,€31M,Right,184cm,68kg
N. Pépé,27,Côte d'Ivoire,Arsenal,€18.5M,Left,183cm,73kg
S. Bastien,25,Congo DR,Burnley,€2.1M,Right,175cm,75kg
A. Martial,26,France,Manchester United,€28M,Right,184cm,76kg
A. Sambi Lokonga,22,Belgium,Arsenal,€12.5M,Right,183cm,73kg
22 M. Greenwood,19,England,Manchester United,€38M,Left,181cm,70kg
A. Maitland-Niles,24,England,Arsenal,€6.5M,Right,177cm,71kg
18 M. Carrick,35,England,Manchester United,€3M,Right,188cm,74kg
R. Barkley,28,England,Chelsea,€7.5M,Right,186cm,76kg
R. Fraser,28,Scotland,Newcastle United,€7.5M,Right,163cm,70kg
V. Janelt,24,Germany,Brentford,€6.5M,Left,184cm,79kg
H. Wilson,25,Wales,Fulham,€10M,Left,173cm,70kg
S. March,27,England,Brighton & Hove Albion,€5.5M,Left,180cm,77kg
O. Norwood,31,Northern Ireland,Sheffield United,€2.1M,Right,175cm,69kg
22 Willian,31,Brazil,Arsenal,€11.5M,Right,175cm,77kg
J. Dasilva,23,England,Brentford,€4.6M,Left,184cm,75kg
J. Stones,28,England,Manchester City,€34.5M,Right,188cm,76kg
J. Gbamin,26,Côte d'Ivoire,Everton,€5.5M,Right,186cm,83kg
O. Edouard,24,France,Crystal Palace,€12M,Right,187cm,83kg
A. Laporte,28,Spain,Manchester City,€64.5M,Left,191cm,85kg
C. Nørgaard,28,Denmark,Brentford,€6.5M,Right,187cm,77kg
C. Jones,21,England,Liverpool,€17M,Right,185cm,75kg
R. Sessegnon,22,England,Tottenham Hotspur,€12M,Left,178cm,70kg
C. Doucouré,22,Mali,Crystal Palace,€10M,Right,180cm,73kg
J. Cullen,26,Republic of Ireland,Burnley,€6.5M,Right,175cm,70kg
A. Campbell,23,Scotland,Luton Town,€2.5M,Right,175cm,74kg
H. Winks,26,England,Tottenham Hotspur,€9M,Right,176cm,65kg
L. Trossard,27,Belgium,Brighton & Hove Albion,€18.5M,Right,171cm,67kg
G. Xhaka,29,Switzerland,Arsenal,€15M,Left,185cm,82kg
M. Gibbs-White,22,England,Wolverhampton Wanderers,€12.5M,Right,178cm,70kg
T. Cairney,31,Scotland,Fulham,€4.6M,Left,186cm,84kg
J. McArthur,34,Scotland,Crystal Palace,€1.9M,Right,178cm,66kg
C. Pulisic,23,United States,Chelsea,€48M,Right,177cm,69kg
D. McNeil,22,England,Everton,€11.5M,Left,183cm,70kg
S. Berge,24,Norway,Sheffield United,€8M,Right,195cm,96kg
B. Traoré,26,Burkina Faso,Aston Villa,€9M,Left,181cm,73kg
H. Reed,27,England,Fulham,€6M,Right,175cm,72kg
Héctor Bellerín,27,Spain,Arsenal,€18.5M,Right,178cm,74kg
K. Mbabu,27,Switzerland,Fulham,€10M,Right,184cm,83kg
22 C. Kouyaté,31,Senegal,Crystal Palace,€7.5M,Right,189cm,83kg
C. Wilson,30,England,Newcastle United,€17M,Right,180cm,66kg
V. Lindelöf,27,Sweden,Manchester United,€21M,Right,187cm,80kg
T. Davies,24,England,Everton,€7.5M,Right,180cm,70kg
P. Mpanzu,28,Congo DR,Luton Town,€1.6M,Right,175cm,74kg
18 P. Evra,36,France,West Ham United,€775K,Left,174cm,75kg
A. Townsend,30,England,Everton,€7M,Left,175cm,73kg
A. Wan-Bissaka,24,England,Manchester United,€26.5M,Right,183cm,72kg
F. Guilbert,27,France,Aston Villa,€15M,Right,178cm,78kg
14 R. Giggs,39,Wales,Manchester United,€1K,Left,179cm,71kg
M. Elneny,29,Egypt,Arsenal,€6.5M,Right,179cm,72kg
E. Eze,24,England,Crystal Palace,€11.5M,Right,178cm,67kg
D. Calvert-Lewin,25,England,Everton,€29.5M,Right,187cm,71kg
F. Onyeka,24,Nigeria,Brentford,€4.2M,Right,183cm,70kg
O. Mangala,24,Belgium,Nottingham Forest,€8.5M,Right,178cm,80kg
M. Olise,20,France,Crystal Palace,€16.5M,Left,178cm,68kg
J. Murphy,27,England,Newcastle United,€3.2M,Right,179cm,74kg
N. Clyne,31,England,Crystal Palace,€3.1M,Right,175cm,67kg
Adama Traoré,26,Spain,Wolverhampton Wanderers,€20.5M,Right,178cm,86kg
N. Maupay,25,France,Brighton & Hove Albion,€9.5M,Right,173cm,69kg
C. Hudson-Odoi,21,England,Chelsea,€21.5M,Right,177cm,79kg
Cafú,29,Portugal,Nottingham Forest,€1.2M,Right,185cm,82kg
D. Undav,25,Germany,Brighton & Hove Albion,€14M,Right,178cm,86kg
H. Maguire,29,England,Manchester United,€24M,Right,194cm,100kg
L. O'Brien,23,England,Nottingham Forest,€6M,Left,173cm,63kg
C. Coady,29,England,Everton,€14.5M,Right,186cm,80kg
Sergi Canós,25,Spain,Brentford,€2.9M,Right,175cm,66kg
Diego Carlos,29,Brazil,Aston Villa,€30.5M,Right,185cm,86kg
W. Hughes,27,England,Crystal Palace,€6.5M,Left,185cm,74kg
K. Mitoma,25,Japan,Brighton & Hove Albion,€5.5M,Right,178cm,71kg
A. Saint-Maximin,25,France,Newcastle United,€32.5M,Right,173cm,67kg
Gabriel Martinelli,21,Brazil,Arsenal,€31.5M,Right,178cm,75kg
S. Longstaff,24,England,Newcastle United,€6.5M,Right,180cm,65kg
M. Caicedo,20,Ecuador,Brighton & Hove Albion,€3.8M,Right,178cm,71kg
J. Garner,21,England,Manchester United,€5M,Right,182cm,80kg
S. Benrahma,26,Algeria,West Ham United,€15.5M,Right,172cm,67kg
Rúben Vinagre,23,Portugal,Everton,€6.5M,Left,174cm,71kg
R. Varane,29,France,Manchester United,€39M,Right,191cm,81kg
M. Targett,26,England,Newcastle United,€12M,Left,183cm,70kg
J. Cork,33,England,Burnley,€2.1M,Right,184cm,75kg
C. Chambers,27,England,Aston Villa,€5.5M,Right,182cm,77kg
J. Riedewald,25,Netherlands,Crystal Palace,€4.5M,Left,182cm,79kg
G. Scamacca,23,Italy,West Ham United,€33.5M,Right,195cm,85kg
J. Matip,30,Cameroon,Liverpool,€34.5M,Right,194cm,90kg
A. Onana,20,Belgium,Everton,€8.5M,Right,195cm,76kg
N. Aguerd,26,Morocco,West Ham United,€24.5M,Left,188cm,76kg
Hwang Hee Chan,26,Korea Republic,Wolverhampton Wanderers,€12.5M,Right,177cm,77kg
22 P. Zinckernagel,26,Denmark,Nottingham Forest,€4.6M,Right,175cm,70kg
Rúben Dias,25,Portugal,Manchester City,€107.5M,Right,187cm,82kg
B. Williams,21,England,Manchester United,€4.4M,Right,182cm,63kg
K. Zouma,27,France,West Ham United,€22.5M,Right,190cm,95kg
J. Rodriguez,32,England,Burnley,€3.4M,Right,185cm,84kg
S. Twine,22,England,Burnley,€3.8M,Right,174cm,69kg
R. Aït Nouri,21,France,Wolverhampton Wanderers,€16M,Left,180cm,70kg
M. Sarr,23,France,Chelsea,€7M,Left,182cm,75kg
H. Lansbury,31,England,Luton Town,€825K,Right,183cm,85kg
C. Wood,30,New Zealand,Newcastle United,€7.5M,Right,191cm,92kg
C. Roberts,26,Wales,Burnley,€7M,Right,175cm,76kg
C. Romero,24,Argentina,Tottenham Hotspur,€49.5M,Right,185cm,79kg
A. El Ghazi,27,Netherlands,Aston Villa,€6M,Right,188cm,90kg
A. Hickey,20,Scotland,Brentford,€12M,Right,175cm,72kg
D. Welbeck,31,England,Brighton & Hove Albion,€4.8M,Right,185cm,73kg
A. Palaversa,22,Croatia,Manchester City,€3.6M,Right,187cm,77kg
N. Chalobah,27,England,Fulham,€3.3M,Right,187cm,80kg
21 Bernard,27,Brazil,Everton,€8M,Right,164cm,60kg
J. Bogle,21,England,Sheffield United,€6.5M,Right,178cm,69kg
N. Kebano,30,Congo DR,Fulham,€2.9M,Right,170cm,65kg
A. Robinson,24,United States,Fulham,€5.5M,Left,183cm,70kg
J. Veltman,30,Netherlands,Brighton & Hove Albion,€11.5M,Right,184cm,75kg
S. Baptiste,24,Grenada,Brentford,€2.2M,Right,175cm,67kg
P. Sarr,19,Senegal,Tottenham Hotspur,€4M,Right,184cm,70kg
A. Knockaert,30,France,Fulham,€1.3M,Left,172cm,69kg
M. Solomon,22,Israel,Fulham,€17M,Right,170cm,67kg
K. Tete,26,Netherlands,Fulham,€4.8M,Right,180cm,71kg
L. Freeman,30,England,Luton Town,€1.3M,Left,172cm,73kg
M. Batshuayi,28,Belgium,Chelsea,€11M,Right,185cm,78kg
Ivan Cavaleiro,28,Portugal,Fulham,€2.4M,Right,175cm,73kg
M. Niakhaté,26,France,Nottingham Forest,€15.5M,Left,190cm,85kg
R. Henry,24,England,Brentford,€7M,Left,170cm,66kg
S. Alzate,23,Colombia,Brighton & Hove Albion,€3.7M,Right,180cm,75kg
M. Holgate,25,England,Everton,€6.5M,Right,184cm,75kg
11 R. Pires,36,France,Aston Villa,€0,Right,187cm,80kg
S. Ghoddos,28,Iran,Brentford,€1.2M,Right,177cm,79kg
Fábio Vieira,22,Portugal,Arsenal,€23.5M,Left,176cm,61kg
Daniel Podence,26,Portugal,Wolverhampton Wanderers,€16.5M,Right,165cm,58kg
M. Longstaff,22,England,Newcastle United,€2.3M,Right,171cm,65kg
22 A. Lennon,34,England,Burnley,€2M,Right,165cm,63kg
C. Lenglet,27,France,Tottenham Hotspur,€16M,Left,186cm,81kg
J. Andersen,26,Denmark,Crystal Palace,€12M,Right,192cm,90kg
J. Onomah,25,England,Fulham,€1.9M,Right,185cm,70kg
F. Andone,29,Romania,Brighton & Hove Albion,€1.6M,Right,180cm,78kg
H. Toffolo,26,England,Nottingham Forest,€2.8M,Left,183cm,71kg
M. Nakamba,28,Zimbabwe,Aston Villa,€5.5M,Left,178cm,71kg
B. Rahman,27,Ghana,Chelsea,€1.5M,Left,180cm,72kg
B. Gilmour,21,Scotland,Chelsea,€5M,Right,170cm,66kg
O. Skipp,21,England,Tottenham Hotspur,€20M,Right,175cm,70kg
R. Yates,24,England,Nottingham Forest,€4.4M,Right,190cm,77kg
T. Mings,29,England,Aston Villa,€12M,Left,196cm,77kg
E. Konsa,24,England,Aston Villa,€32.5M,Right,183cm,77kg
Y. Wissa,25,Congo DR,Brentford,€6.5M,Right,176cm,74kg
H. White,20,England,Tottenham Hotspur,€1.5M,Left,178cm,70kg
D. Gray,26,England,Everton,€12.5M,Right,183cm,75kg
I. Maatsen,20,Netherlands,Burnley,€3.7M,Left,168cm,57kg
Pedro Neto,22,Portugal,Wolverhampton Wanderers,€28.5M,Left,172cm,62kg
J. Tarkowski,29,England,Everton,€14.5M,Right,188cm,81kg
T. Tomiyasu,23,Japan,Arsenal,€26M,Right,188cm,84kg
B. Godfrey,24,England,Everton,€22M,Right,183cm,79kg
Manquillo,28,Spain,Newcastle United,€3.8M,Right,178cm,76kg
22 Juan Mata,33,Spain,Manchester United,€4.7M,Left,170cm,63kg
W. Saliba,21,France,Arsenal,€40M,Right,192cm,85kg
T. Awoniyi,24,Nigeria,Nottingham Forest,€14.5M,Right,183cm,85kg
J. Lewis,24,Northern Ireland,Newcastle United,€3.3M,Left,178cm,70kg
J. Lolley,29,England,Nottingham Forest,€1.2M,Left,178cm,72kg
E. Smith Rowe,21,England,Arsenal,€43M,Right,182cm,72kg
B. Johnson,21,Wales,Nottingham Forest,€12.5M,Right,181cm,71kg
T. Lamptey,21,England,Brighton & Hove Albion,€12M,Right,163cm,62kg
A. Elanga,20,Sweden,Manchester United,€9.5M,Right,178cm,75kg
A. Gordon,21,England,Everton,€12.5M,Right,183cm,74kg
K. Ajer,24,Norway,Brentford,€11.5M,Right,196cm,94kg
K. Kozłowski,18,Poland,Brighton & Hove Albion,€3.1M,Right,178cm,68kg
E. Laird,20,England,Manchester United,€3.7M,Right,177cm,66kg
F. Downes,23,England,West Ham United,€2.3M,Right,173cm,70kg
T. Doyle,20,England,Sheffield United,€2.1M,Right,179cm,72kg
A. Mitrović,27,Serbia,Fulham,€16.5M,Right,189cm,90kg
J. Tanganga,23,England,Tottenham Hotspur,€9M,Right,180cm,73kg
H. Arter,32,Republic of Ireland,Nottingham Forest,€475K,Left,176cm,70kg
J. Clark,28,England,Luton Town,€1.4M,Right,176cm,73kg
M. Lowe,25,England,Sheffield United,€3.2M,Left,175cm,74kg
G. Baldock,29,Greece,Sheffield United,€1.6M,Right,175cm,67kg
C. Ronan,24,Republic of Ireland,Wolverhampton Wanderers,€2M,Right,170cm,70kg
E. Anderson,19,Scotland,Newcastle United,€2.6M,Right,179cm,63kg
E. Ampadu,21,Wales,Chelsea,€6M,Right,183cm,78kg
J. Gomez,25,England,Liverpool,€34M,Right,188cm,77kg
K. Lewis-Potter,21,England,Brentford,€4.2M,Right,170cm,67kg
J. Ward,32,England,Crystal Palace,€2.9M,Right,188cm,83kg
T. Mitchell,22,England,Crystal Palace,€14.5M,Left,180cm,70kg
A. Iwobi,26,Nigeria,Everton,€6.5M,Right,185cm,75kg
A. Tuanzebe,24,England,Manchester United,€5.5M,Right,185cm,75kg
M. Keane,29,England,Everton,€16M,Right,191cm,82kg
P. Dummett,30,Wales,Newcastle United,€2.6M,Left,183cm,82kg
21 K. LuaLua,29,Congo DR,Luton Town,€1.4M,Right,180cm,77kg
C. Coventry,22,Republic of Ireland,West Ham United,€1.9M,Right,177cm,65kg
K. Koulibaly,31,Senegal,Chelsea,€54.5M,Right,187cm,89kg
J. Colback,32,England,Nottingham Forest,€925K,Left,177cm,77kg
G. Biancone,22,France,Nottingham Forest,€3.3M,Right,187cm,79kg
Fábio Carvalho,19,Portugal,Liverpool,€7M,Right,175cm,66kg
E. Stevens,31,Republic of Ireland,Sheffield United,€1.4M,Left,183cm,78kg
T. Chalobah,22,England,Chelsea,€11M,Right,191cm,84kg
D. Sánchez,26,Colombia,Tottenham Hotspur,€18M,Right,187cm,81kg
T. Chong,22,Netherlands,Manchester United,€3.6M,Left,185cm,75kg
R. Nelson,22,England,Arsenal,€6M,Right,175cm,71kg
S. Rondón,32,Venezuela,Everton,€3.4M,Right,186cm,86kg
O. Richards,24,England,Nottingham Forest,€4.3M,Left,174cm,70kg
B. Mee,32,England,Brentford,€9M,Left,180cm,82kg
E. Bailly,28,Côte d'Ivoire,Manchester United,€7M,Right,186cm,77kg
T. Ream,34,United States,Fulham,€525K,Left,186cm,80kg
B. Johnson,22,England,West Ham United,€9M,Right,180cm,69kg
11 G. Neville,35,England,Manchester United,€0,Right,179cm,79kg
J. Bree,24,England,Luton Town,€2.5M,Right,178cm,74kg
E. Adebayo,24,England,Luton Town,€3.4M,Right,193cm,89kg
J. Mateta,25,France,Crystal Palace,€10M,Right,192cm,88kg
V. Mykolenko,23,Ukraine,Everton,€14.5M,Left,180cm,71kg
H. Dervişoğlu,22,Turkey,Brentford,€3.8M,Right,183cm,76kg
B. White,24,England,Arsenal,€32.5M,Right,185cm,77kg
N. Williams,21,Wales,Nottingham Forest,€4M,Right,183cm,72kg
M. Guéhi,21,England,Crystal Palace,€29.5M,Right,182cm,82kg
M. Kilman,25,England,Wolverhampton Wanderers,€14.5M,Left,194cm,89kg
K. Davis,24,England,Aston Villa,€3.6M,Left,191cm,88kg
Toti Gomes,23,Portugal,Wolverhampton Wanderers,€2.6M,Left,187cm,83kg
F. Pellistri,20,Uruguay,Manchester United,€3.8M,Right,175cm,65kg
Léo Bonatini,28,Brazil,Wolverhampton Wanderers,€1M,Right,185cm,82kg
Vitinho,22,Brazil,Burnley,€2.6M,Right,175cm,73kg
Bryan Gil,21,Spain,Tottenham Hotspur,€23.5M,Left,175cm,65kg
22 R. Vilca,22,Peru,Newcastle United,€1.3M,Right,175cm,68kg
I. Konaté,23,France,Liverpool,€48M,Right,194cm,95kg
S. Botman,22,Netherlands,Newcastle United,€31M,Left,193cm,81kg
Rodrigo Muniz,21,Brazil,Fulham,€3.6M,Right,185cm,79kg
22 K. Mainoo,16,England,Manchester United,€1.2M,Right,175cm,80kg
A. Broja,20,Albania,Chelsea,€12.5M,Right,191cm,75kg
C. Woodrow,27,England,Luton Town,€1.6M,Right,184cm,74kg
J. Egan,29,Republic of Ireland,Sheffield United,€3.5M,Right,185cm,75kg
K. Hause,26,England,Aston Villa,€6M,Left,191cm,77kg
Gabriel,24,Brazil,Arsenal,€37M,Left,190cm,87kg
C. Palmer,20,England,Manchester City,€2.7M,Left,189cm,74kg
I. Kaboré,21,Burkina Faso,Manchester City,€4M,Right,180cm,70kg
M. Roerslev,23,Denmark,Brentford,€2.1M,Right,184cm,67kg
C. Jerome,35,England,Luton Town,€375K,Right,185cm,85kg
H. Elliott,19,England,Liverpool,€7M,Left,170cm,67kg
T. Kongolo,28,Netherlands,Fulham,€1.3M,Left,188cm,70kg
D. Spence,21,England,Tottenham Hotspur,€12M,Right,184cm,71kg
22 L. Grabban,33,England,Nottingham Forest,€1M,Right,183cm,78kg
Marquinhos,19,Brazil,Arsenal,€7M,Left,183cm,77kg
E. Nketiah,23,England,Arsenal,€6M,Right,180cm,73kg
A. Ahmedhodžić,23,Bosnia and Herzegovina,Sheffield United,€4.9M,Right,195cm,84kg
