long_name,age,Height,Weight,club_name,Value,preferred_foot,nationality
Granit Xhaka,26,185,82,Arsenal,21500000,Left,Switzerland
Luke Shaw,23,181,75,Manchester United,20000000,Left,England
Abdoulaye Doucouré,26,184,76,Watford,20000000,Right,France
Onyinye Wilfred Ndidi,22,183,74,Leicester City,20500000,Right,Nigeria
Ryan Fraser,25,163,70,Bournemouth,21500000,Right,Scotland
Luka Milivojević,28,186,80,Crystal Palace,17500000,Right,Serbia
James Philip Milner,33,175,70,Liverpool,10500000,Right,England
Moussa Sissoko,29,187,91,Tottenham Hotspur,17000000,Right,France
Nemanja Matić,30,194,85,Manchester United,14500000,Left,Serbia
Marcos Alonso Mendoza,28,188,87,Chelsea,15000000,Left,Spain
Henrikh Mkhitaryan,30,177,75,Arsenal,17000000,Right,Armenia
Joe Gomez,22,188,77,Liverpool,20000000,Right,England
Andreas Christensen,23,187,81,Chelsea,19000000,Right,Denmark
Youri Tielemans,22,176,72,Leicester City,20500000,Right,Belgium
Harry Winks,23,176,74,Tottenham Hotspur,20000000,Right,England
Diogo José Teixeira da Silva,22,178,73,Wolverhampton Wanderers,20500000,Right,Portugal
Héctor Bellerín Moruno,24,178,74,Arsenal,17500000,Right,Spain
Benjamin Mendy,24,185,85,Manchester City,17500000,Left,France
Tiémoué Bakayoko,24,189,85,Chelsea,18000000,Right,France
Kurt Happy Zouma,24,190,96,Chelsea,17500000,Right,France
Nathan Aké,24,180,75,Bournemouth,17500000,Left,Netherlands
André Filipe Tavares Gomes,25,188,84,Everton,17500000,Right,Portugal
Alex Oxlade-Chamberlain,25,175,70,Liverpool,18500000,Right,England
Gerard Deulofeu Lázaro,25,177,73,Watford,19000000,Right,Spain
Michael Keane,26,191,82,Everton,16500000,Right,England
Eric Bertrand Bailly,25,186,77,Manchester United,16500000,Right,Ivory Coast
Miguel Ángel Almirón Rejala,25,174,63,Newcastle United,18500000,Left,Paraguay
Manuel Lanzini,26,167,59,West Ham United,18000000,Right,Argentina
Mathew Ryan,27,184,82,Brighton & Hove Albion,12500000,Right,Australia
Callum Wilson,27,180,66,Bournemouth,17500000,Right,England
Martin Dúbravka,30,190,80,Newcastle United,11500000,Right,Slovakia
Ben Foster,36,193,90,Watford,2500000,Left,England
Tom Heaton,33,187,92,Aston Villa,8000000,Right,England
Danny Rose,28,174,76,Tottenham Hotspur,12500000,Left,England
Erik Lamela,27,184,80,Tottenham Hotspur,15500000,Left,Argentina
Sergio Germán Romero,32,192,86,Manchester United,9000000,Right,Argentina
Etienne Capoue,30,190,87,Watford,12000000,Right,France
Ralf Fährmann,30,197,98,Norwich City,10000000,Right,Germany
Chris Smalling,29,194,81,Manchester United,12500000,Right,England
Roberto Maximiliano Pereyra,28,182,77,Watford,15000000,Right,Argentina
Dejan Lovren,29,188,84,Liverpool,12500000,Right,Croatia
Raúl Alonso Jiménez Rodríguez,28,188,81,Wolverhampton Wanderers,15500000,Right,Mexico
Bernard Anício Caldeira Duarte,26,164,60,Everton,16000000,Right,Brazil
Aaron Wan-Bissaka,21,183,72,Manchester United,17500000,Right,England
Allan Saint-Maximin,22,173,67,Newcastle United,17500000,Right,France
Christian Pulisic,20,177,69,Chelsea,18000000,Right,United States
Ruben Loftus-Cheek,23,191,88,Chelsea,17000000,Right,England
Ben Chilwell,22,178,77,Leicester City,15500000,Left,England
Wesley Moraes Ferreira da Silva,22,191,94,Aston Villa,17500000,Right,Brazil
James Ward-Prowse,24,173,66,Southampton,16500000,Right,England
Alex Iwobi,23,185,75,Everton,17000000,Right,Nigeria
Jean-Philippe Gbamin,23,186,83,Everton,15500000,Right,Ivory Coast
José Ángel Esmoris Tasende,22,175,69,Manchester City,15000000,Left,Spain
James Maddison,22,175,73,Leicester City,17000000,Right,England
Richarlison de Andrade,22,181,71,Everton,17000000,Right,Brazil
Eric Dier,25,190,90,Tottenham Hotspur,14500000,Right,England
Leandro Trossard,24,172,67,Brighton & Hove Albion,16500000,Right,Belgium
Jonathan Castro Otto,25,170,70,Wolverhampton Wanderers,14500000,Right,Spain
Jefferson Andrés Lerma Solís,24,179,70,Bournemouth,15000000,Right,Colombia
Ross Barkley,25,185,87,Chelsea,16000000,Right,England
James Tarkowski,26,192,81,Burnley,14000000,Right,England
Nick Pope,27,200,76,Burnley,11000000,Right,England
Michy Batshuayi Tunga,25,185,88,Chelsea,16000000,Right,Belgium
Sead Kolašinac,26,183,85,Arsenal,13500000,Left,Bosnia Herzegovina
Fabian Lukas Schär,27,188,84,Newcastle United,13500000,Right,Switzerland
Fabián Cornelio Balbuena González,27,188,85,West Ham United,13500000,Right,Paraguay
Shkodran Mustafi,27,184,82,Arsenal,13000000,Right,Germany
Willy Boly,28,195,97,Wolverhampton Wanderers,12500000,Right,France
Ben Davies,26,182,76,Tottenham Hotspur,13500000,Left,Wales
Frederico R. de Paula Santos,26,169,64,Manchester United,15000000,Left,Brazil
Mamadou Sakho,29,187,83,Crystal Palace,12000000,Left,France
Joshua King,27,184,82,Bournemouth,14500000,Right,Norway
Phil Jones,27,185,71,Manchester United,12500000,Right,England
Serge Aurier,26,176,76,Tottenham Hotspur,13000000,Right,Ivory Coast
Davide Zappacosta,27,182,72,Chelsea,12500000,Right,Italy
Jonny Evans,31,188,77,Leicester City,9500000,Right,Northern Ireland
Ignacio Monreal Eraso,33,180,77,Arsenal,5500000,Left,Spain
Séamus Coleman,30,177,77,Everton,10000000,Right,Republic of Ireland
Adam David Lallana,31,178,73,Liverpool,11000000,Right,England
Jack Wilshere,27,172,68,West Ham United,13000000,Left,England
Vicente Guaita Panadero,32,190,80,Crystal Palace,7500000,Right,Spain
Andriy Yarmolenko,29,190,83,West Ham United,12500000,Left,Ukraine
Ismaïla Sarr,21,185,76,Watford,16500000,Right,Senegal
Declan Rice,20,185,80,West Ham United,15000000,Right,England
Issa Diop,22,194,92,West Ham United,14000000,Right,France
Oleksandr Zinchenko,22,175,64,Manchester City,13000000,Left,Ukraine
Leander Dendoncker,24,189,88,Wolverhampton Wanderers,14000000,Right,Belgium
Joelinton Cassio Apolinário de Lira,22,186,81,Newcastle United,14500000,Right,Brazil
Mario Lemina,25,184,85,Southampton,13500000,Right,Gabon
Divock Okoth Origi,24,188,75,Liverpool,14000000,Right,Belgium
Yerry Fernando Mina González,24,195,94,Everton,12500000,Right,Colombia
Jamaal Lascelles,25,188,89,Newcastle United,12000000,Right,England
Ibrahim Amadou,26,184,81,Norwich City,12000000,Right,France
Max Meyer,23,173,68,Crystal Palace,13500000,Right,Germany
Ayoze Pérez Gutiérrez,25,178,72,Leicester City,13000000,Right,Spain
Shane Patrick Michael Duffy,27,193,76,Brighton & Hove Albion,11000000,Right,Republic of Ireland
Florian Lejeune,28,189,89,Newcastle United,10500000,Right,France
Lewis Dunk,27,192,88,Brighton & Hove Albion,11000000,Right,England
Victor Wanyama,28,184,87,Tottenham Hotspur,10500000,Right,Kenya
Christian Kabasele,28,188,84,Watford,10000000,Right,Belgium
Matt Doherty,27,182,87,Wolverhampton Wanderers,10500000,Right,Republic of Ireland
Jannik Vestergaard,26,199,98,Southampton,11000000,Right,Denmark
Ryan Bertrand,29,179,80,Southampton,8500000,Left,England
Steven Defour,31,175,72,Burnley,9000000,Right,Belgium
Kevin Mirallas,31,182,72,Everton,9000000,Right,Belgium
James Tomkins,30,192,74,Crystal Palace,8500000,Right,England
Javier Hernández Balcázar,31,175,73,West Ham United,9500000,Right,Mexico
José Holebas,35,185,81,Watford,2900000,Left,Greece
Troy Deeney,31,183,90,Watford,9500000,Right,England
Adrien Sebastian Perruchet Silva,30,175,69,Leicester City,9500000,Right,Portugal
Daniel Nii Tackie Mensah Welbeck,28,185,73,Watford,10500000,Right,England
Ashley Barnes,29,186,84,Burnley,10500000,Right,England
Ben Mee,29,183,82,Burnley,8500000,Left,England
Nathaniel Edwin Clyne,28,175,67,Liverpool,9000000,Right,England
Michail Antonio,29,178,82,West Ham United,10000000,Right,England
Pascal Groß,28,181,78,Brighton & Hove Albion,10500000,Right,Germany
Johann Berg Guðmunds­son,28,179,77,Burnley,10500000,Left,Iceland
Steve Cook,28,185,82,Bournemouth,9000000,Right,England
Andros Townsend,27,178,73,Crystal Palace,11000000,Left,England
Faustino Marcos Alberto Rojo,29,187,85,Manchester United,8500000,Left,Argentina
Patrick Cutrone,21,183,78,Wolverhampton Wanderers,14500000,Right,Italy
David Brooks,21,183,62,Bournemouth,13500000,Left,Wales
Jack Grealish,23,175,68,Aston Villa,13000000,Right,England
Lewis Cook,22,175,71,Bournemouth,12500000,Right,England
Scott McTominay,22,193,88,Manchester United,11500000,Right,Scotland
Jan Bednarek,23,189,77,Southampton,11000000,Right,Poland
Dominic Calvert-Lewin,22,187,71,Everton,12500000,Right,England
Jesús Vallejo Lázaro,22,184,79,Wolverhampton Wanderers,11000000,Right,Spain
Will Hughes,24,185,74,Watford,12000000,Left,England
Andreas Hugo Hoelgebaum Pereira,23,178,71,Manchester United,11500000,Right,Brazil
Emerson Palmieri dos Santos,24,175,77,Chelsea,10500000,Left,Italy
Pierre-Emile Højbjerg,23,185,84,Southampton,11500000,Right,Denmark
Nathan Redmond,25,173,69,Southampton,11000000,Right,England
Sofiane Boufal,25,175,67,Southampton,11000000,Right,Morocco
Conor Coady,26,186,80,Wolverhampton Wanderers,9500000,Right,England
Mahmoud Ahmed Ibrahim Hassan,24,179,78,Aston Villa,11000000,Right,Egypt
Jonjo Shelvey,27,184,80,Newcastle United,10000000,Right,England
Chris Wood,27,189,92,Burnley,10500000,Right,New Zealand
Davy Pröpper,27,185,79,Brighton & Hove Albion,10000000,Right,Netherlands
Marco van Ginkel,26,186,82,Chelsea,10500000,Right,Netherlands
Djibril Sidibé,26,182,71,Everton,9000000,Right,France
Mohamed Naser Elsayed Elneny,26,181,74,Arsenal,9500000,Right,Egypt
Joe Hart,32,196,91,Burnley,5500000,Right,England
Ashley Young,33,175,65,Manchester United,4000000,Right,England
Gary Cahill,33,193,88,Crystal Palace,4200000,Right,England
Theo Walcott,30,176,68,Everton,8500000,Right,England
Glenn Murray,35,183,80,Brighton & Hove Albion,4100000,Right,England
Claudio Andrés Bravo Muñoz,36,184,80,Manchester City,1500000,Right,Chile
Morgan Schneiderlin,29,185,75,Everton,7500000,Right,France
Fabian Delph,29,174,78,Everton,7500000,Left,England
Roberto Jiménez Gago,33,192,94,West Ham United,4800000,Right,Spain
Angelo Obinze Ogbonna,31,191,86,West Ham United,6500000,Left,Italy
Daniel Noel Drinkwater,29,177,81,Burnley,8500000,Right,England
Daryl Janmaat,29,185,80,Watford,7500000,Right,Netherlands
Ashley Westwood,29,174,73,Burnley,8500000,Right,England
Teemu Pukki,29,180,80,Norwich City,9000000,Right,Finland
Cenk Tosun,28,183,78,Everton,9000000,Right,Turkey
Romain Saïss,29,190,84,Wolverhampton Wanderers,7500000,Left,Morocco
Philip Foden,19,171,69,Manchester City,16500000,Left,England
Moise Bioty Kean,19,182,79,Everton,14500000,Right,Italy
Kieran Tierney,22,178,78,Arsenal,11000000,Left,Scotland
Tammy Bakumo-Abraham,21,196,80,Chelsea,12000000,Right,England
Filip Benković,21,194,91,Leicester City,11000000,Right,Croatia
Arnaut Danjuma Groeneveld,22,178,80,Bournemouth,11500000,Right,Netherlands
Isaac Hayden,24,185,79,Newcastle United,10000000,Right,England
Angus Gunn,23,196,77,Southampton,8000000,Right,England
Rob Holding,23,189,75,Arsenal,10000000,Right,England
Björn Engels,24,194,83,Aston Villa,9500000,Right,Belgium
Frédéric Guilbert,24,178,70,Aston Villa,9500000,Right,France
Dennis Praet,25,181,78,Leicester City,10000000,Right,Belgium
Víctor Camarasa Ferrando,25,183,76,Crystal Palace,10000000,Right,Spain
Marvelous Nakamba,25,176,76,Aston Villa,9000000,Left,Zimbabwe
Ravel Morrison,26,175,71,Sheffield United,9500000,Right,England
Mohamed Amine Elyounoussi,24,178,70,Southampton,10000000,Right,Norway
Jürgen Locadia,25,185,87,Brighton & Hove Albion,10000000,Right,Netherlands
Charlie Taylor,25,185,70,Burnley,8500000,Left,England
Arthur Masuaku,25,179,70,West Ham United,8500000,Left,DR Congo
DeAndre Yedlin,25,172,75,Newcastle United,8500000,Right,United States
Florin Andone,26,180,78,Brighton & Hove Albion,9500000,Right,Romania
Oriol Romeu Vidal,27,183,83,Southampton,8000000,Right,Spain
Alex McCarthy,29,193,79,Southampton,6000000,Right,England
Daniel William John Ings,26,178,73,Southampton,9000000,Right,England
Cédric Ricardo Alves Soares,27,172,67,Southampton,7500000,Right,Portugal
Phil Jagielka,36,180,87,Sheffield United,1600000,Right,England
Heurelho da Silva Gomes,38,191,95,Watford,775000,Right,Brazil
Mark Noble,32,177,76,West Ham United,6000000,Right,England
Robert Snodgrass,31,182,82,West Ham United,7000000,Left,Scotland
Jack Cork,30,184,75,Burnley,7000000,Right,England
Jay Rodriguez,29,185,84,Burnley,7500000,Right,England
James McArthur,31,178,66,Crystal Palace,6500000,Right,Scotland
Winston Reid,30,190,87,West Ham United,6000000,Right,New Zealand
기성용 寄诚庸,30,189,75,Newcastle United,7000000,Right,Korea Republic
Craig Cathcart,30,190,83,Watford,6000000,Right,Northern Ireland
Dale Stephens,30,185,78,Brighton & Hove Albion,7000000,Right,England
Marc Albrighton,29,175,74,Leicester City,7500000,Right,England
Patrick van Aanholt,28,176,67,Crystal Palace,6500000,Left,Netherlands
Cheikhou Kouyaté,29,189,83,Crystal Palace,6500000,Right,Senegal
Aaron Cresswell,29,175,66,West Ham United,6500000,Left,England
Tom Cleverley,29,175,67,Watford,7500000,Right,England
Francisco Femenía Far,28,174,61,Watford,6500000,Right,Spain
Adam Smith,28,180,78,Bournemouth,6500000,Right,England
Andre Gray,28,180,78,Watford,8000000,Right,England
Martín Montoya Torralbo,28,175,73,Brighton & Hove Albion,6500000,Right,Spain
Adrián San Miguel del Castillo,32,190,80,Liverpool,4700000,Right,Spain
Aaron Mooy,28,173,72,Brighton & Hove Albion,7500000,Right,Australia
Robbie Brady,27,179,77,Burnley,8000000,Left,Republic of Ireland
Federico Fernández,30,190,83,Newcastle United,6000000,Right,Argentina
Dwight Gayle,28,174,78,Newcastle United,8000000,Right,England
José Heriberto Izquierdo Mena,26,171,75,Brighton & Hove Albion,8500000,Right,Colombia
Mason Mount,20,178,64,Chelsea,11500000,Right,England
Kouassi Ryan Sessegnon,19,178,71,Tottenham Hotspur,11000000,Left,England
Mattéo Guendouzi Olié,20,185,68,Arsenal,11500000,Right,France
Harry Wilson,22,173,70,Bournemouth,10500000,Left,Wales
Dean Henderson,22,190,85,Sheffield United,8500000,Right,England
José Diogo Dalot Teixeira,20,183,76,Manchester United,10000000,Right,Portugal
Harvey Lewis Barnes,21,174,66,Leicester City,10500000,Right,England
Ainsley Maitland-Niles,21,177,71,Arsenal,9000000,Right,England
Robert Kenedy Nunes do Nascimento,23,182,77,Chelsea,9500000,Left,Brazil
Tom Davies,21,185,70,Everton,9000000,Right,England
Juan Camilo Hernández Suárez,20,176,73,Watford,9500000,Right,Colombia
Neal Maupay,22,171,69,Brighton & Hove Albion,9500000,Right,France
Mason Holgate,22,184,75,Everton,8000000,Right,England
Yves Bissouma,22,182,80,Brighton & Hove Albion,9000000,Right,Mali
Damián Emiliano Martínez,26,193,85,Arsenal,6500000,Right,Argentina
Calum Chambers,24,183,73,Arsenal,8000000,Right,England
John McGinn,24,178,68,Aston Villa,9000000,Left,Scotland
Demarai Gray,23,180,74,Leicester City,9000000,Right,England
Bernardo Fernandes da Silva Junior,24,186,76,Brighton & Hove Albion,8000000,Left,Brazil
Nathaniel Chalobah,24,185,76,Watford,8000000,Right,England
Wesley Hoedt,25,188,77,Southampton,7500000,Left,Netherlands
Paulo Dino Gazzaniga,27,196,90,Tottenham Hotspur,6000000,Right,Argentina
Jetro Willems,25,177,82,Newcastle United,7500000,Left,Netherlands
Solomon March,24,180,77,Brighton & Hove Albion,8500000,Left,England
Lovre Kalinić,29,201,99,Aston Villa,5500000,Left,Croatia
Jonas Lössl,30,195,88,Everton,5000000,Right,Denmark
Ciaran Clark,29,185,88,Newcastle United,6500000,Left,Republic of Ireland
Martin Kelly,29,191,77,Crystal Palace,6500000,Right,England
Josip Drmić,26,183,81,Norwich City,8000000,Right,Switzerland
Stuart Armstrong,27,183,75,Southampton,7500000,Right,Scotland
Paul Dummett,27,183,82,Newcastle United,6500000,Left,Wales
Alireza Jahanbakhsh,25,180,78,Brighton & Hove Albion,8000000,Right,Iran
武藤 嘉紀,26,178,72,Newcastle United,8000000,Right,Japan
Artur Boruc,39,193,87,Bournemouth,675000,Right,Poland
Simon Francis,34,187,90,Bournemouth,2500000,Right,England
Wes Morgan,35,186,101,Leicester City,2000000,Right,Jamaica
Wilfredo Daniel Caballero,37,186,81,Chelsea,675000,Right,Argentina
Pablo Javier Zabaleta Girod,34,178,74,West Ham United,2300000,Right,Argentina
Scott Dann,32,188,78,Crystal Palace,4300000,Right,England
Leighton Baines,34,170,70,Everton,2300000,Left,England
Wayne Hennessey,32,198,90,Crystal Palace,4000000,Right,Wales
Asmir Begović,32,199,83,Bournemouth,4000000,Right,Bosnia Herzegovina
Andrew Surman,32,178,73,Bournemouth,5000000,Left,England
Adrian Mariappa,32,180,79,Watford,4300000,Right,Jamaica
Stefano Okaka Chuka,29,186,90,Watford,6500000,Right,Italy
Andy Carroll,30,193,79,Newcastle United,6500000,Left,England
Carlos Alberto Sánchez Moreno,33,182,82,West Ham United,3200000,Right,Colombia
Christian Benteke Liolo,28,190,83,Crystal Palace,7000000,Right,Belgium
Matteo Darmian,29,182,70,Manchester United,5500000,Right,Italy
Dan Gosling,29,183,79,Bournemouth,6500000,Right,England
Oliver Norwood,28,175,69,Sheffield United,6500000,Right,Northern Ireland
Matt Ritchie,29,172,76,Newcastle United,5500000,Left,Scotland
James McCarthy,28,180,72,Crystal Palace,6000000,Right,Republic of Ireland
Yannick Bolasie Yala,30,188,84,Everton,6500000,Right,DR Congo
Junior Stanislas,29,183,76,Bournemouth,6500000,Right,England
吉田 麻也,30,189,78,Southampton,5500000,Right,Japan
Craig Dawson,29,188,82,Watford,5500000,Right,England
Jordan Ayew,27,182,81,Crystal Palace,7000000,Right,Ghana
Nampalys Mendy,27,167,73,Leicester City,6000000,Right,France
Matthew Lowton,30,181,78,Burnley,5500000,Right,England
Jeff Hendrick,27,183,84,Burnley,7000000,Right,Republic of Ireland
Guido Marcelo Carrillo,28,191,87,Southampton,7000000,Right,Argentina
Callum Hudson-Odoi,18,177,75,Chelsea,11500000,Right,England
Aleix García Serrano,22,173,68,Manchester City,9500000,Right,Spain
Juan Marcos Foyth,21,187,69,Tottenham Hotspur,9000000,Right,Argentina
Dwight McNeil,19,183,68,Burnley,9500000,Left,England
Douglas Luiz Soares de Paulo,21,178,70,Aston Villa,9000000,Right,Brazil
Hamza Choudhury,21,178,64,Leicester City,8000000,Right,England
Moussa Djenepo,21,177,65,Southampton,8500000,Right,Mali
Adama Traoré Diarra,23,178,72,Wolverhampton Wanderers,8500000,Right,Spain
Philip Billing,23,197,80,Bournemouth,8000000,Left,Denmark
Patrick Roberts,22,170,66,Norwich City,8500000,Left,England
Albian Ajeti,22,183,78,West Ham United,8500000,Right,Switzerland
Çağlar Söyüncü,23,185,82,Leicester City,7500000,Right,Turkey
Oliver McBurnie,23,191,77,Sheffield United,8000000,Right,Scotland
Che Adams,22,178,66,Southampton,8000000,Right,England
Emiliano Buendía,22,170,65,Norwich City,8000000,Right,Argentina
Jack Stephens,25,185,75,Southampton,7000000,Right,England
Kyle Walker-Peters,22,174,64,Tottenham Hotspur,7000000,Right,England
Jack O'Connell,25,191,85,Sheffield United,6500000,Left,England
Anwar El Ghazi,24,189,90,Aston Villa,7500000,Right,Netherlands
Georges-Kevin N'Koudou Mbida,24,175,72,Tottenham Hotspur,7500000,Right,France
Adam Masina,25,191,87,Watford,6500000,Left,Italy
Ben Gibson,26,185,78,Burnley,6500000,Left,England
Adam Webster,24,191,75,Brighton & Hove Albion,6500000,Right,England
Emil Krafth,24,181,72,Newcastle United,6500000,Right,Sweden
Abdul Rahman Baba,24,179,70,Chelsea,6500000,Left,Ghana
Javier Manquillo Gaitán,25,178,76,Newcastle United,6500000,Right,Spain
Tyrone Mings,26,196,77,Aston Villa,6500000,Left,England
John Egan,26,188,75,Sheffield United,6000000,Right,Republic of Ireland
Ryan Fredericks,26,181,74,West Ham United,6000000,Right,England
Diego Rico Salguero,26,183,76,Bournemouth,6000000,Left,Spain
Jeffrey Schlupp,26,178,72,Crystal Palace,6500000,Left,Ghana
Dimitri Foulquier,26,183,78,Watford,6500000,Right,France
Aaron Lennon,32,165,63,Burnley,4400000,Right,England
Billy Sharp,33,175,70,Sheffield United,3500000,Right,England
Shane Long,32,178,70,Southampton,4500000,Right,Republic of Ireland
Gaëtan Bong Songo,31,183,74,Brighton & Hove Albion,4100000,Left,Cameroon
Henri Saivet,28,174,76,Newcastle United,5500000,Right,Senegal
James Chester,30,180,79,Aston Villa,4600000,Right,Wales
Leon Aderemi Balogun,31,190,88,Brighton & Hove Albion,4200000,Right,Nigeria
Enda Stevens,28,183,78,Sheffield United,4800000,Left,Republic of Ireland
Marvin Zeegelaar,28,186,82,Watford,4800000,Left,Netherlands
Conor Hourihane,28,181,70,Aston Villa,5500000,Left,Republic of Ireland
Timm Klose,31,193,87,Norwich City,4200000,Right,Switzerland
Christian Atsu Twasam,27,165,65,Newcastle United,6000000,Left,Ghana
Rachid Ghezzal,27,182,70,Leicester City,6000000,Left,Algeria
Islam Slimani,31,188,83,Leicester City,5000000,Right,Algeria
Reece James,19,182,82,Chelsea,7000000,Right,England
Ryan Kent,22,172,65,Liverpool,7000000,Right,England
Axel Tuanzebe,21,185,72,Manchester United,6500000,Right,England
