long_name,age,Height,Weight,nationality,club_name,value_eur,preferred_foot
Ryan Fraser,26,163,70,Scotland,Newcastle United,15000000,Right
André Filipe Tavares Gomes,26,188,84,Portugal,Everton,14500000,Right
Danny Rose,29,174,76,England,Tottenham Hotspur,10500000,Left
Sokratis Papastathopoulos,32,186,84,Greece,Arsenal,8000000,Right
Juan Manuel Mata García,32,170,63,Spain,Manchester United,10000000,Left
Olivier Giroud,33,193,91,France,Chelsea,8000000,Left
Séamus Coleman,31,177,77,Republic of Ireland,Everton,9000000,Right
Moussa Sissoko,30,187,91,France,Tottenham Hotspur,11500000,Right
Gylfi Þór Sigurðsson,30,186,77,Iceland,Everton,12000000,Right
Ben Mee,30,180,82,England,Burnley,10000000,Left
Chris Smalling,30,194,81,England,Manchester United,10000000,Right
Nicolás Hernán Otamendi,32,183,81,Argentina,Manchester City,8000000,Right
Luka Milivojević,29,186,80,Serbia,Crystal Palace,11000000,Right
Ayoze Pérez Gutiérrez,26,178,72,Spain,Leicester City,13500000,Right
Kieran Tierney,23,178,76,Scotland,Arsenal,13500000,Left
Dwight McNeil,20,183,70,England,Burnley,15500000,Left
Tammy Bakumo-Abraham,22,196,87,England,Chelsea,15000000,Right
Gabriel dos Santos Magalhães,22,190,87,Brazil,Arsenal,13000000,Left
Ruben Loftus-Cheek,24,191,88,England,Chelsea,14000000,Right
Cengiz Ünder,22,173,66,Turkey,Leicester City,14000000,Left
Leander Dendoncker,25,189,88,Belgium,Wolverhampton Wanderers,12500000,Right
Jean-Philippe Gbamin,24,186,83,Ivory Coast,Everton,12500000,Right
Eric Dier,26,190,90,England,Tottenham Hotspur,12000000,Right
Jack O'Connell,26,191,85,England,Sheffield United,12000000,Left
Daniel Castelo Podence,24,165,58,Portugal,Wolverhampton Wanderers,13500000,Right
Ross Barkley,26,186,87,England,Chelsea,12500000,Right
Damián Emiliano Martínez,27,195,90,Argentina,Aston Villa,9000000,Right
Loris Karius,27,189,87,Germany,Liverpool,9000000,Right
Michy Batshuayi Tunga,26,185,91,Belgium,Crystal Palace,13000000,Right
Leandro Trossard,25,172,67,Belgium,Brighton & Hove Albion,13000000,Right
Shkodran Mustafi,28,184,83,Germany,Arsenal,10500000,Right
Lewis Dunk,28,192,88,England,Brighton & Hove Albion,10500000,Right
John Egan,27,188,75,Republic of Ireland,Sheffield United,11000000,Right
Abdoulaye Doucouré,27,184,76,France,Everton,11000000,Right
Fabian Lukas Schär,28,188,84,Switzerland,Newcastle United,10500000,Right
Yerry Fernando Mina González,25,195,94,Colombia,Everton,11500000,Right
Manuel Lanzini,27,167,59,Argentina,West Ham United,12000000,Right
Nathan Redmond,26,173,69,England,Southampton,12000000,Right
Michael Keane,27,191,82,England,Everton,10500000,Right
Sead Kolašinac,27,183,86,Bosnia Herzegovina,Arsenal,10500000,Left
Miguel Ángel Almirón Rejala,26,174,63,Paraguay,Newcastle United,12000000,Left
Tom Heaton,34,187,92,England,Aston Villa,4500000,Right
Ryan Bertrand,30,179,85,England,Southampton,8000000,Left
Victor Moses,29,177,77,Nigeria,Chelsea,10000000,Right
Ashley Westwood,30,175,73,England,Burnley,8500000,Right
Michail Antonio,30,178,82,England,West Ham United,10000000,Right
Chris Wood,28,191,92,New Zealand,Burnley,10500000,Right
Enda Stevens,29,183,78,Republic of Ireland,Sheffield United,8500000,Left
Callum Wilson,28,180,66,England,Newcastle United,10500000,Right
Bernard Anício Caldeira Duarte,27,164,60,Brazil,Everton,11000000,Right
Romain Saïss,30,188,84,Morocco,Wolverhampton Wanderers,8500000,Left
Mason Greenwood,18,181,70,England,Manchester United,14500000,Left
Mattéo Guendouzi Olié,21,185,80,France,Arsenal,12500000,Right
Reece James,20,182,87,England,Chelsea,12500000,Right
Jarrod Bowen,23,175,70,England,West Ham United,12500000,Left
Issa Diop,23,194,92,France,West Ham United,11500000,Right
Jan Bednarek,24,189,77,Poland,Southampton,11000000,Right
Harry Wilson,23,173,70,Wales,Liverpool,12000000,Left
André-Franck Zambo Anguissa,24,184,78,Cameroon,Fulham,12000000,Right
Daniel James,22,170,76,Wales,Manchester United,12000000,Right
Divock Okoth Origi,25,188,75,Belgium,Liverpool,12000000,Right
Timothy Castagne,24,180,80,Belgium,Leicester City,12000000,Right
Jamaal Lascelles,26,188,89,England,Newcastle United,10000000,Right
Neal Maupay,23,171,69,France,Brighton & Hove Albion,12000000,Right
Alex Iwobi,24,185,75,Nigeria,Everton,11500000,Right
Kenny Tete,24,180,71,Netherlands,Fulham,10000000,Right
Mason Holgate,23,184,75,England,Everton,10500000,Right
Paulo Dino Gazzaniga,28,196,90,Argentina,Tottenham Hotspur,8000000,Right
Isaac Hayden,25,185,79,England,Newcastle United,10000000,Right
Aleksandar Mitrović,25,189,90,Serbia,Fulham,11500000,Right
南野 拓実,25,174,67,Japan,Liverpool,11000000,Right
Arthur Masuaku,26,179,70,DR Congo,West Ham United,9500000,Left
George Baldock,27,175,67,England,Sheffield United,9000000,Right
Jannik Vestergaard,27,199,96,Denmark,Southampton,9000000,Right
Charlie Taylor,26,180,70,England,Burnley,9000000,Left
Mario Lemina,26,184,85,Gabon,Fulham,10500000,Right
Robert Snodgrass,32,182,82,Scotland,West Ham United,7000000,Left
Gary Cahill,34,193,88,England,Crystal Palace,3300000,Right
Jack Cork,31,183,75,England,Burnley,6500000,Right
Adam David Lallana,32,178,73,England,Brighton & Hove Albion,6500000,Right
Fabian Delph,30,174,78,England,Everton,7500000,Left
Angelo Obinze Ogbonna,32,191,86,Italy,West Ham United,5500000,Left
Chris Basham,31,190,80,England,Sheffield United,6500000,Right
Odion Jude Ighalo,31,183,73,Nigeria,Manchester United,8000000,Right
Oliver Norwood,29,175,69,Northern Ireland,Sheffield United,8500000,Right
Patrick van Aanholt,29,176,67,Netherlands,Crystal Palace,7500000,Left
Matt Ritchie,30,172,76,Scotland,Newcastle United,8500000,Left
Cheikhou Kouyaté,30,189,83,Senegal,Crystal Palace,7500000,Right
Ashley Barnes,30,186,84,England,Burnley,8500000,Right
Jonjo Shelvey,28,184,80,England,Newcastle United,9000000,Right
John Fleck,28,169,72,Scotland,Sheffield United,9000000,Left
Alex McCarthy,30,193,79,England,Southampton,6000000,Right
Aaron Cresswell,30,175,66,England,West Ham United,7000000,Left
Pascal Groß,29,181,78,Germany,Brighton & Hove Albion,8500000,Right
Johann Berg Guðmunds­son,29,179,77,Iceland,Burnley,8500000,Left
Andriy Yarmolenko,30,190,83,Ukraine,West Ham United,8500000,Left
Andros Townsend,28,178,73,England,Crystal Palace,9000000,Left
Jordan Ayew,28,182,81,Ghana,Crystal Palace,9000000,Right
Federico Fernández,31,190,83,Argentina,Newcastle United,6500000,Right
Jesse Lingard,27,175,62,England,Manchester United,9500000,Right
Joël Veltman,28,184,75,Netherlands,Brighton & Hove Albion,8000000,Right
Jean Michaël Seri,28,171,73,Ivory Coast,Fulham,9000000,Right
Islam Slimani,32,188,83,Algeria,Leicester City,7000000,Right
Fikayo Tomori,22,185,78,England,Chelsea,11000000,Right
José Diogo Dalot Teixeira,21,183,76,Portugal,Manchester United,11000000,Right
Ainsley Maitland-Niles,22,177,70,England,Arsenal,10000000,Right
Robin Koch,23,191,86,Germany,Leeds United,10500000,Right
Mohamed Salisu Abdul Karim,21,191,85,Ghana,Southampton,10500000,Left
Jonjoe Kenny,23,176,67,England,Everton,9500000,Right
Kalvin Phillips,24,178,72,England,Leeds United,9500000,Right
Zack Steffen,25,191,86,United States,Manchester City,8000000,Right
John McGinn,25,178,68,Scotland,Aston Villa,10000000,Left
Matt Targett,24,183,70,England,Aston Villa,9000000,Left
Ollie Watkins,24,180,70,England,Aston Villa,10500000,Right
Frédéric Guilbert,25,178,70,France,Aston Villa,9000000,Right
Matheus Fellipe Costa Pereira,24,175,74,Brazil,West Bromwich Albion,10500000,Left
Konstantinos Tsimikas,24,179,68,Greece,Liverpool,9000000,Left
Wesley Moraes Ferreira da Silva,23,191,94,Brazil,Aston Villa,10500000,Right
Bertrand Isidore Traoré,24,181,73,Burkina Faso,Aston Villa,10000000,Left
Javier Manquillo Gaitán,26,178,76,Spain,Newcastle United,8500000,Right
Max Meyer,24,173,68,Germany,Crystal Palace,10000000,Right
Dennis Praet,26,181,78,Belgium,Leicester City,9000000,Right
John Lundstram,26,181,74,England,Sheffield United,9000000,Right
Ryan Fredericks,27,181,74,England,West Ham United,7500000,Right
Mohamed Naser Elsayed Elneny,27,181,74,Egypt,Arsenal,8000000,Right
DeAndre Yedlin,26,172,75,United States,Newcastle United,8000000,Right
Mbwana Ally Samatta,27,183,80,Tanzania,Aston Villa,9000000,Right
Theo Walcott,31,176,68,England,Everton,7000000,Right
Jay Rodriguez,30,185,84,England,Burnley,7500000,Right
Fraser Forster,32,201,93,England,Southampton,4700000,Right
James Tomkins,31,192,74,England,Crystal Palace,5500000,Right
Ciaran Clark,30,185,88,Republic of Ireland,Newcastle United,6000000,Left
Marc Albrighton,30,175,74,England,Leicester City,7500000,Right
Mamadou Sakho,30,187,83,France,Crystal Palace,6000000,Left
Adrien Sebastian Perruchet Silva,31,175,69,Portugal,Leicester City,6500000,Right
Joel Ward,30,188,83,England,Crystal Palace,6000000,Right
James McCarthy,29,180,72,Republic of Ireland,Crystal Palace,6500000,Right
Jack Wilshere,28,172,68,England,West Ham United,7500000,Left
Davy Pröpper,28,185,79,Netherlands,Brighton & Hove Albion,7500000,Right
Adrián San Miguel del Castillo,33,190,80,Spain,Liverpool,4200000,Right
Tom Cairney,29,186,84,Scotland,Fulham,7500000,Left
Cédric Ricardo Alves Soares,28,172,67,Portugal,Arsenal,6500000,Right
Stuart Armstrong,28,183,75,Scotland,Southampton,8000000,Right
Fernando Marçal de Oliveira,31,178,72,Brazil,Wolverhampton Wanderers,5500000,Left
Bukayo Saka,18,178,65,England,Arsenal,12000000,Left
Kouassi Ryan Sessegnon,20,178,71,England,Tottenham Hotspur,11500000,Left
Alexis Mac Allister,21,174,72,Argentina,Brighton & Hove Albion,11000000,Right
Brandon Williams,19,182,70,England,Manchester United,9500000,Right
Ben White,22,185,77,England,Brighton & Hove Albion,9500000,Right
Gedson Carvalho Fernandes,21,181,71,Portugal,Tottenham Hotspur,10000000,Right
Aaron Ramsdale,22,188,77,England,Sheffield United,7500000,Right
Eberechi Eze,22,173,67,England,Crystal Palace,10000000,Right
Douglas Luiz Soares de Paulo,22,178,70,Brazil,Aston Villa,9000000,Right
Juan Marcos Foyth,22,187,69,Argentina,Tottenham Hotspur,9000000,Right
Moussa Djenepo,22,177,65,Mali,Southampton,10000000,Right
Matty Cash,22,179,64,England,Aston Villa,8500000,Right
Rob Holding,24,189,81,England,Arsenal,8500000,Right
Joelinton Cassio Apolinário de Lira,23,186,81,Brazil,Newcastle United,9500000,Right
Marko Grujić,24,191,86,Serbia,Liverpool,9000000,Right
Calum Chambers,25,182,87,England,Arsenal,8000000,Right
Kyle Walker-Peters,23,174,64,England,Southampton,8000000,Right
Tom Davies,22,180,70,England,Everton,9000000,Right
Yves Bissouma,23,182,80,Mali,Brighton & Hove Albion,9000000,Right
Jack Stephens,26,185,75,England,Southampton,7500000,Right
Sam Johnstone,27,193,85,England,West Bromwich Albion,6000000,Right
Adam Webster,25,191,75,England,Brighton & Hove Albion,7500000,Right
Oliver McBurnie,24,191,77,Scotland,Sheffield United,9000000,Right
Demarai Gray,24,180,74,England,Leicester City,8500000,Right
Malang Sarr,21,182,73,France,Chelsea,8000000,Left
Pablo Marí Villar,26,193,87,Spain,Arsenal,7500000,Left
Andreas Hugo Hoelgebaum Pereira,24,178,71,Brazil,Manchester United,8500000,Right
Abdul Rahman Baba,25,180,72,Ghana,Chelsea,7500000,Left
Tyrone Mings,27,196,77,England,Aston Villa,7000000,Left
Anwar El Ghazi,25,189,90,Netherlands,Aston Villa,8500000,Right
Wesley Hoedt,26,188,77,Netherlands,Southampton,7500000,Left
Marvelous Nakamba,26,176,76,Zimbabwe,Aston Villa,7500000,Left
Mahmoud Ahmed Ibrahim Hassan,25,179,78,Egypt,Aston Villa,8500000,Right
Dan Burn,28,198,87,England,Brighton & Hove Albion,6500000,Left
Oriol Romeu Vidal,28,183,83,Spain,Southampton,6500000,Right
Marco van Ginkel,27,186,82,Netherlands,Chelsea,7500000,Right
Paul Dummett,28,183,82,Wales,Newcastle United,6500000,Left
Solomon March,25,180,77,England,Brighton & Hove Albion,8000000,Left
Ivan Ricardo Neves Abreu Cavaleiro,26,175,80,Portugal,Fulham,8000000,Right
Fabián Cornelio Balbuena González,28,188,85,Paraguay,West Ham United,6500000,Right
Wilfredo Daniel Caballero,38,186,83,Argentina,Chelsea,675000,Right
Joe Hart,33,196,91,England,Tottenham Hotspur,3600000,Right
Mark Noble,33,177,76,England,West Ham United,3900000,Right
Darren Randolph,33,188,78,Republic of Ireland,West Ham United,3600000,Right
Wayne Hennessey,33,198,90,Wales,Crystal Palace,3600000,Right
James McArthur,32,178,66,Scotland,Crystal Palace,5000000,Right
Pablo Hernández Domínguez,35,173,66,Spain,Leeds United,2900000,Right
Dale Stephens,31,185,78,England,Brighton & Hove Albion,5500000,Right
Martin Kelly,30,191,77,England,Crystal Palace,5500000,Right
Kieran Gibbs,30,179,70,England,West Bromwich Albion,5500000,Left
Luke Ayling,28,185,72,England,Leeds United,5500000,Right
Matt Phillips,29,183,75,Scotland,West Bromwich Albion,6500000,Right
Yannick Bolasie Yala,31,185,84,DR Congo,Everton,6000000,Right
Cenk Tosun,29,183,78,Turkey,Everton,6500000,Right
Conor Hourihane,29,180,62,Republic of Ireland,Aston Villa,6500000,Left
Phil Jones,28,185,71,England,Manchester United,6000000,Right
Nampalys Mendy,28,167,73,France,Leicester City,6000000,Right
Matthew Lowton,31,180,78,England,Burnley,4800000,Right
Jeff Hendrick,28,183,84,Republic of Ireland,Newcastle United,6500000,Right
Faustino Marcos Alberto Rojo,30,187,85,Argentina,Manchester United,5500000,Left
Robbie Brady,28,179,77,Republic of Ireland,Burnley,6500000,Left
Sofiane Boufal,26,175,67,Morocco,Southampton,7000000,Right
Lovre Kalinić,30,201,99,Croatia,Aston Villa,4500000,Left
William Saliba,19,192,85,France,Arsenal,10000000,Right
Callum Hudson-Odoi,19,178,79,England,Chelsea,10000000,Right
Gabriel Teodoro Martinelli Silva,19,180,69,Brazil,Arsenal,9500000,Right
Jamal Lewis,22,177,70,Northern Ireland,Newcastle United,8000000,Left
Rúben Gonçalo Silva Nascimento Vinagre,21,174,74,Portugal,Wolverhampton Wanderers,8000000,Left
Moise Bioty Kean,20,182,72,Italy,Everton,9000000,Right
Marek Rodák,23,196,86,Slovakia,Fulham,6000000,Right
Filip Benković,22,194,91,Croatia,Leicester City,7000000,Right
Kelechi Promise Iheanacho,23,185,82,Nigeria,Leicester City,8000000,Left
Jack Harrison,23,175,70,England,Leeds United,7500000,Left
Björn Engels,25,194,83,Belgium,Aston Villa,6500000,Right
Che Adams,23,178,70,England,Southampton,7500000,Right
Hamza Choudhury,22,178,64,England,Leicester City,7000000,Right
Angus Gunn,24,196,77,England,Southampton,5500000,Right
Lys Mousset,24,184,80,France,Sheffield United,7500000,Right
Emil Krafth,25,181,72,Sweden,Newcastle United,6000000,Right
Ben Osborn,25,176,75,England,Sheffield United,6000000,Left
Bernardo Fernandes da Silva Junior,25,186,76,Brazil,Brighton & Hove Albion,6000000,Left
Joe Bryan,26,174,76,England,Fulham,5500000,Left
Danny Ward,27,191,88,Wales,Leicester City,4600000,Right
Florin Andone,27,180,78,Romania,Brighton & Hove Albion,6500000,Right
Shane Long,33,178,70,Republic of Ireland,Southampton,3500000,Right
Francisco Casilla Cortés,33,190,86,Spain,Leeds United,3000000,Right
Fabricio Martín Agosto Ramírez,32,184,80,Spain,Fulham,3400000,Right
Kamil Grosicki,32,180,78,Poland,West Bromwich Albion,4400000,Right
Erik Pieters,31,183,87,Netherlands,Burnley,4100000,Left
David McGoldrick,32,183,74,Republic of Ireland,Sheffield United,4500000,Right
Andy Carroll,31,193,79,England,Newcastle United,5000000,Left
Jake Livermore,30,180,74,England,West Bromwich Albion,4600000,Right
Jeffrey Schlupp,27,178,72,Ghana,Crystal Palace,6000000,Left
Anthony Knockaert,28,172,69,France,Fulham,5500000,Left
Christian Atsu Twasam,28,165,65,Ghana,Newcastle United,5500000,Left
Dwight Gayle,29,174,78,England,Newcastle United,5500000,Right
Alireza Jahanbakhsh,26,180,78,Iran,Brighton & Hove Albion,6000000,Right
José Heriberto Izquierdo Mena,27,171,75,Colombia,Brighton & Hove Albion,6000000,Right
Grady Diangana,22,180,73,England,West Bromwich Albion,7000000,Left
Sean Longstaff,22,180,65,England,Newcastle United,6500000,Right
Antonee Robinson,22,183,70,United States,Fulham,5500000,Left
Patrick Roberts,23,170,66,England,Manchester City,6000000,Left
Axel Tuanzebe,22,185,75,England,Manchester United,5500000,Right
James Justin,22,183,80,England,Leicester City,5500000,Right
Timothy Evans Fosu-Mensah,22,185,78,Netherlands,Manchester United,5500000,Right
Temitayo Olufisayo Olaoluwa Aina,23,184,82,Nigeria,Fulham,5500000,Right
Aleix García Serrano,23,173,68,Spain,Manchester City,5500000,Right
Harrison Reed,25,170,72,England,Fulham,4900000,Right
Sandro Ramírez Castillo,24,175,71,Spain,Everton,5500000,Right
Oluwasemilogo Adesewo Ibidapo Ajayi,26,193,83,Nigeria,West Bromwich Albion,4400000,Right
Daniel Amartey,25,186,79,Ghana,Leicester City,4400000,Right
Karl Darlow,29,190,78,England,Newcastle United,3400000,Right
Liam Cooper,28,188,73,Scotland,Leeds United,3900000,Left
Hélder Wander Sousa Azevedo Costa,26,179,77,Portugal,Leeds United,4700000,Left
