,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
138,Mathew Ryan,21,2020-2021,28,au AUS,2 Teams,eng Premier League,14,1260,14.0,14,0,13,0,0,0,0,0,0,0,21,44,24,63.6,3,5,6,3,21.4,GK,4535e4bb
139,Hugo Lloris,21,2019-2020,32,fr FRA,Tottenham,eng Premier League,21,1807,20.1,21,0,0,0,0,0,0,0,0,0,21,99,78,80.8,11,6,4,6,28.6,GK,8f62b6ee
140,Łukasz Fabiański,21,2023-2024,38,pl POL,West Ham,eng Premier League,10,721,8.0,7,3,27,0,0,0,0,0,0,0,21,53,33,66.0,3,1,3,1,14.3,GK,9328b835
141,Ben Hamer,21,2018-2019,30,eng ENG,Huddersfield,eng Premier League,7,552,6.1,7,0,26,0,0,0,0,0,0,0,21,42,22,57.1,0,1,6,0,0.0,GK,d822a850
142,Marcus Bettinelli,20,2018-2019,26,eng ENG,Fulham,eng Premier League,7,630,7.0,7,0,15,0,0,0,0,0,0,0,20,40,19,52.5,1,2,4,0,0.0,GK,0d85a4e8
143,Pepe Reina,20,2019-2020,36,es ESP,Aston Villa,eng Premier League,12,1080,12.0,12,0,4,0,0,0,0,0,0,0,20,53,32,66.0,3,3,6,2,16.7,GK,e358587b
144,Martin Dúbravka,19,2020-2021,31,sk SVK,Newcastle Utd,eng Premier League,13,1170,13.0,13,0,11,0,0,0,0,0,0,0,19,62,44,71.0,5,5,3,3,23.1,GK,3a949a25
145,Artur Boruc,18,2018-2019,38,pl POL,Bournemouth,eng Premier League,12,1080,12.0,12,0,26,0,0,0,0,0,0,0,18,56,38,73.2,4,3,5,4,33.3,GK,34ccf6fa
146,Angus Gunn,18,2018-2019,22,sct SCO,Southampton,eng Premier League,12,1080,12.0,12,0,26,0,0,0,0,0,0,0,18,50,31,64.0,4,4,4,3,25.0,GK,e082af5b
147,Alex McCarthy,17,2022-2023,32,eng ENG,Southampton,eng Premier League,6,540,6.0,6,0,21,0,0,0,0,0,0,0,17,30,14,46.7,0,1,5,0,0.0,GK,36c2ca73
148,Roberto,17,2019-2020,33,es ESP,West Ham,eng Premier League,8,687,7.6,7,1,12,0,0,0,0,0,0,0,17,51,35,68.6,0,1,6,0,0.0,GK,ba3ca78f
149,Nick Pope,16,2023-2024,31,eng ENG,Newcastle Utd,eng Premier League,15,1345,14.9,15,0,3,0,0,0,0,0,0,0,16,58,42,72.4,9,2,4,5,33.3,GK,4b40d9ca
150,Arijanet Muric,16,2023-2024,24,xk KVX,Burnley,eng Premier League,10,900,10.0,10,0,25,0,0,0,0,0,0,0,16,78,62,80.8,2,4,4,0,0.0,GK,99aa1a84
151,Karl Darlow,15,2021-2022,30,wls WAL,Newcastle Utd,eng Premier League,8,720,8.0,8,0,26,0,0,0,0,0,0,0,15,37,23,64.9,0,5,3,0,0.0,GK,cde3309f
152,Edouard Mendy,14,2022-2023,30,sn SEN,Chelsea,eng Premier League,10,855,9.5,9,1,13,0,0,0,0,0,0,0,14,39,25,64.1,3,2,4,1,11.1,GK,33887998
153,Bailey Peacock-Farrell,14,2020-2021,23,nir NIR,Burnley,eng Premier League,4,360,4.0,4,0,31,0,0,0,0,0,0,0,14,24,10,41.7,0,0,4,0,0.0,GK,4879f8cb
154,Jack Butland,13,2021-2022,28,eng ENG,Crystal Palace,eng Premier League,9,765,8.5,8,1,29,0,0,0,0,0,0,0,13,28,16,53.6,2,4,2,1,12.5,GK,cc70a1d5
155,Robin Olsen,13,2023-2024,33,se SWE,Aston Villa,eng Premier League,5,405,4.5,4,1,26,0,0,0,0,0,0,0,13,34,20,61.8,1,0,3,0,0.0,GK,e7ee38c3
156,Odysseas Vlachodimos,12,2023-2024,29,gr GRE,Nott'ham Forest,eng Premier League,5,450,5.0,5,0,14,0,0,0,0,0,0,0,12,22,10,50.0,1,0,4,1,20.0,GK,03df04ff
157,Freddie Woodman,12,2021-2022,24,eng ENG,Newcastle Utd,eng Premier League,4,360,4.0,4,0,1,0,0,0,0,0,0,0,12,22,9,54.5,0,1,3,0,0.0,GK,19e50035
158,Ørjan Nyland,12,2019-2020,28,no NOR,Aston Villa,eng Premier League,7,539,6.0,5,2,20,0,0,0,0,0,0,0,12,27,15,55.6,0,2,3,1,20.0,GK,bdedffac
159,Dean Henderson,12,2020-2021,23,eng ENG,Manchester Utd,eng Premier League,13,1125,12.5,12,1,25,0,0,0,0,0,0,0,12,51,39,76.5,9,2,1,4,33.3,GK,e5a76dfe
160,Caoimhín Kelleher,11,2023-2024,24,ie IRL,Liverpool,eng Premier League,10,900,10.0,10,0,27,0,0,0,0,0,0,0,11,38,28,71.1,8,2,0,2,20.0,GK,62d7ef38
161,Fraser Forster,11,2020-2021,32,eng ENG,Southampton,eng Premier League,8,720,8.0,8,0,30,0,0,0,0,0,0,0,11,31,19,71.0,4,0,4,2,25.0,GK,c3e39f12
162,Joel Robles,11,2022-2023,32,es ESP,Leeds United,eng Premier League,4,360,4.0,4,0,23,0,0,0,0,0,0,0,11,27,16,66.7,0,1,3,0,0.0,GK,cda0b317
163,Sam Johnstone,10,2022-2023,29,eng ENG,Crystal Palace,eng Premier League,9,810,9.0,9,0,21,0,0,0,0,0,0,0,10,34,25,76.5,4,3,2,3,33.3,GK,9e5708be
164,Adrián,10,2019-2020,32,es ESP,Liverpool,eng Premier League,11,875,9.7,9,2,27,0,0,0,0,0,0,0,10,27,17,63.0,9,0,0,2,22.2,GK,f76e6b4e
165,Bernd Leno,9,2021-2022,29,de GER,Arsenal,eng Premier League,4,360,4.0,4,0,29,0,0,0,0,0,0,0,9,19,10,52.6,1,0,3,1,25.0,GK,2628fd2b
166,Petr Čech,9,2018-2019,36,cz CZE,Arsenal,eng Premier League,7,584,6.5,7,0,29,0,0,0,0,0,0,0,9,37,28,75.7,5,0,2,1,14.3,GK,71672fa0
167,Emiliano Martínez,9,2019-2020,26,ar ARG,Arsenal,eng Premier League,9,771,8.6,8,1,29,0,0,0,0,0,0,0,9,42,33,81.0,5,1,2,3,37.5,GK,7956236f
168,Robin Olsen,9,2020-2021,30,se SWE,Everton,eng Premier League,7,630,7.0,7,0,21,0,0,0,0,0,0,0,9,30,21,73.3,2,3,2,2,28.6,GK,e7ee38c3
169,Adrián,9,2020-2021,33,es ESP,Liverpool,eng Premier League,3,270,3.0,3,0,27,0,0,0,0,0,0,0,9,18,9,50.0,1,1,1,1,33.3,GK,f76e6b4e
170,Kepa Arrizabalaga,8,2020-2021,25,es ESP,Chelsea,eng Premier League,7,585,6.5,6,1,28,0,0,0,0,0,0,0,8,23,15,69.6,2,2,2,2,33.3,GK,28d596a0
171,Wayne Hennessey,8,2019-2020,32,wls WAL,Crystal Palace,eng Premier League,3,270,3.0,3,0,34,0,0,0,0,0,0,0,8,23,15,65.2,0,1,2,0,0.0,GK,76eca7e2
172,Asmir Begović,8,2021-2022,34,ba BIH,Everton,eng Premier League,3,270,3.0,3,0,35,0,0,0,0,0,0,0,8,18,11,61.1,1,0,2,1,33.3,GK,7b4de647
173,Robin Olsen,8,2022-2023,32,se SWE,Aston Villa,eng Premier League,4,281,3.1,2,2,30,0,0,0,0,0,0,0,8,19,11,63.2,1,0,1,1,50.0,GK,e7ee38c3
174,Claudio Bravo,7,2019-2020,36,cl CHI,Manchester City,eng Premier League,4,347,3.9,3,1,27,0,0,0,0,0,0,0,7,15,8,53.3,2,0,1,1,33.3,GK,10072610
175,Alphonse Areola,7,2022-2023,29,fr FRA,West Ham,eng Premier League,5,309,3.4,2,3,30,0,0,0,0,0,0,0,7,16,9,68.8,0,1,1,1,50.0,GK,2f965a72
176,Ionuț Radu,7,2023-2024,26,ro ROU,Bournemouth,eng Premier League,2,180,2.0,2,0,11,0,0,0,0,0,0,0,7,11,4,36.4,1,0,1,0,0.0,GK,67f649be
177,Daniel Bentley,7,2023-2024,30,eng ENG,Wolves,eng Premier League,5,383,4.3,3,2,33,0,0,0,0,0,0,0,7,15,8,53.3,1,0,2,1,33.3,GK,68db6358
178,Willy Caballero,7,2019-2020,37,ar ARG,Chelsea,eng Premier League,5,450,5.0,5,0,33,0,0,0,0,0,0,0,7,16,10,56.3,2,2,1,1,20.0,GK,a179d516
179,Stefan Ortega,7,2023-2024,30,de GER,Manchester City,eng Premier League,9,635,7.1,5,4,29,0,0,0,0,0,0,0,7,27,20,74.1,4,1,0,3,60.0,GK,c1242d4e
180,David Martin,6,2019-2020,33,eng ENG,West Ham,eng Premier League,5,436,4.8,4,1,8,0,0,0,0,0,0,0,6,21,15,71.4,2,0,2,2,50.0,GK,07666c20
181,Michael McGovern,6,2019-2020,35,nir NIR,Norwich City,eng Premier League,2,159,1.8,1,1,18,0,0,0,0,0,0,0,6,13,6,53.8,0,0,1,0,0.0,GK,51a19d04
182,Wayne Hennessey,6,2021-2022,34,wls WAL,Burnley,eng Premier League,2,180,2.0,2,0,36,0,0,0,0,0,0,0,6,13,8,53.8,0,0,2,0,0.0,GK,76eca7e2
183,Simon Moore,6,2019-2020,29,eng ENG,Sheffield Utd,eng Premier League,2,180,2.0,2,0,25,0,0,0,0,0,0,0,6,11,5,45.5,0,1,1,0,0.0,GK,e7434f04
184,Marek Rodák,5,2020-2021,23,sk SVK,Fulham,eng Premier League,2,180,2.0,2,0,28,0,0,0,0,0,0,0,5,9,4,55.6,0,0,2,0,0.0,GK,17acc2ed
185,Joseph Whitworth,5,2022-2023,18,eng ENG,Crystal Palace,eng Premier League,2,180,2.0,2,0,12,0,0,0,0,0,0,0,5,10,5,50.0,0,0,2,0,0.0,GK,3f847d95
186,Aaron Ramsdale,5,2023-2024,25,eng ENG,Arsenal,eng Premier League,6,540,6.0,6,0,31,0,0,0,0,0,0,0,5,14,9,64.3,5,1,0,2,33.3,GK,466fb2c5
187,Darren Randolph,5,2019-2020,32,ie IRL,West Ham,eng Premier League,2,180,2.0,2,0,15,0,0,0,0,0,0,0,5,11,6,63.6,0,1,1,0,0.0,GK,6385ebfb
188,Wayne Hennessey,5,2022-2023,35,wls WAL,Nott'ham Forest,eng Premier League,4,271,3.0,3,1,33,0,0,0,0,0,0,0,5,14,9,64.3,0,2,1,1,33.3,GK,76eca7e2
189,Jonas Lössl,5,2021-2022,32,dk DEN,Brentford,eng Premier League,2,180,2.0,2,0,10,0,0,0,0,0,0,0,5,7,2,28.6,0,0,2,0,0.0,GK,939bc634
190,Willy Caballero,5,2021-2022,39,ar ARG,Southampton,eng Premier League,2,180,2.0,2,0,19,0,0,0,0,0,0,0,5,11,6,54.5,0,1,1,0,0.0,GK,a179d516
191,Fabricio,5,2018-2019,30,es ESP,Fulham,eng Premier League,2,180,2.0,2,0,17,0,0,0,0,0,0,0,5,21,16,76.2,0,0,2,0,0.0,GK,af245161
192,David Button,5,2018-2019,29,eng ENG,Brighton,eng Premier League,4,360,4.0,4,0,25,0,0,0,0,0,0,0,5,18,13,83.3,1,1,2,1,25.0,GK,e608ed4c
193,Mark Travers,5,2018-2019,19,ie IRL,Bournemouth,eng Premier League,2,180,2.0,2,0,0,0,0,0,0,0,0,0,5,13,9,61.5,1,0,1,1,50.0,GK,fe558029
194,Mark Travers,5,2023-2024,24,ie IRL,Bournemouth,eng Premier League,4,360,4.0,4,0,25,0,0,0,0,0,0,0,5,18,13,77.8,2,0,2,2,50.0,GK,fe558029
195,Michel Vorm,4,2018-2019,34,nl NED,Tottenham,eng Premier League,2,180,2.0,2,0,4,0,0,0,0,0,0,0,4,13,9,69.2,0,0,2,0,0.0,GK,1bebde9d
196,Loris Karius,4,2023-2024,30,de GER,Newcastle Utd,eng Premier League,1,90,1.0,1,0,21,0,0,0,0,0,0,0,4,7,4,42.9,0,0,1,0,0.0,GK,32e7ce92
197,Caoimhín Kelleher,4,2022-2023,23,ie IRL,Liverpool,eng Premier League,1,90,1.0,1,0,28,0,0,0,0,0,0,0,4,10,6,60.0,0,1,0,0,0.0,GK,62d7ef38
198,Julián Speroni,4,2018-2019,39,ar ARG,Crystal Palace,eng Premier League,1,90,1.0,1,0,4,0,0,0,0,0,0,0,4,9,5,55.6,0,0,1,0,0.0,GK,8e65a5e5
199,Will Norris,4,2020-2021,26,eng ENG,Burnley,eng Premier League,2,180,2.0,2,0,15,0,0,0,0,0,0,0,4,6,2,33.3,0,0,2,0,0.0,GK,c73ada83
200,Scott Carson,3,2020-2021,34,eng ENG,Manchester City,eng Premier League,1,90,1.0,1,0,3,0,0,0,0,0,0,0,3,5,1,60.0,1,0,0,0,0.0,GK,3e1550ee
