,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,GA,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,Pos,-9999
367,Marcelo Pitaluga,,2021-2022,18,br BRA,Liverpool,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,b3cafda8
368,Marcelo Pitaluga,,2023-2024,20,br BRA,Liverpool,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,b3cafda8
369,Lucas Bergström,,2023-2024,20,fi FIN,Chelsea,eng Premier League,0,,,0,0,15,,,,,,,,,,,,0,0,0,,,GK,b59c2a92
370,Lander Emery,,2023-2024,20,eng ENG,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,b5f7fd45
371,Sam Proctor,,2023-2024,16,eng ENG,Aston Villa,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,b96cec48
372,Alex Smithies,,2018-2019,28,eng ENG,Cardiff City,eng Premier League,0,,,0,0,26,,,,,,,,,,,,0,0,0,,,GK,bb91617c
373,Alex Smithies,,2022-2023,32,eng ENG,Leicester City,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,bb91617c
374,Matej Kovar,,2022-2023,22,cz CZE,Manchester Utd,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,bc67a0e1
375,Oliwier Zych,,2022-2023,18,pl POL,Aston Villa,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,be18d79f
376,Oliwier Zych,,2023-2024,19,pl POL,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,be18d79f
377,Nathan Bishop,,2020-2021,20,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,bf713136
378,Nathan Bishop,,2022-2023,22,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,bf713136
379,Harry Lewis,,2019-2020,21,eng ENG,Southampton,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,c35e99d8
380,Harry Lewis,,2020-2021,22,eng ENG,Southampton,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,c35e99d8
381,Harry Lewis,,2021-2022,23,eng ENG,Southampton,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,c35e99d8
382,Fraser Forster,,2019-2020,31,eng ENG,Southampton,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,c3e39f12
383,Fraser Forster,,2023-2024,35,eng ENG,Tottenham,eng Premier League,0,,,0,0,23,,,,,,,,,,,,0,0,0,,,GK,c3e39f12
384,Christian Walton,,2020-2021,24,eng ENG,Brighton,eng Premier League,0,,,0,0,8,,,,,,,,,,,,0,0,0,,,GK,c666574f
385,Will Norris,,2021-2022,27,eng ENG,Burnley,eng Premier League,0,,,0,0,9,,,,,,,,,,,,0,0,0,,,GK,c73ada83
386,Dermot Mee,,2023-2024,20,nir NIR,Manchester Utd,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,caa32820
387,Joe Hart,,2019-2020,32,eng ENG,Burnley,eng Premier League,0,,,0,0,29,,,,,,,,,,,,0,0,0,,,GK,cb4f24c6
388,Joe Hart,,2020-2021,33,eng ENG,Tottenham,eng Premier League,0,,,0,0,38,,,,,,,,,,,,0,0,0,,,GK,cb4f24c6
389,Jack Butland,,2022-2023,29,eng ENG,2 Teams,eng Premier League,0,,,0,0,14,,,,,,,,,,,,0,0,0,,,GK,cc70a1d5
390,Karl Darlow,,2018-2019,27,wls WAL,Newcastle Utd,eng Premier League,0,,,0,0,23,,,,,,,,,,,,0,0,0,,,GK,cde3309f
391,Karl Darlow,,2019-2020,28,wls WAL,Newcastle Utd,eng Premier League,0,,,0,0,37,,,,,,,,,,,,0,0,0,,,GK,cde3309f
392,Karl Darlow,,2022-2023,31,wls WAL,Newcastle Utd,eng Premier League,0,,,0,0,7,,,,,,,,,,,,0,0,0,,,GK,cde3309f
393,Jordan Smith,,2022-2023,27,eng ENG,Nott'ham Forest,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,cfca9c4e
394,Danny Ward,,2018-2019,25,wls WAL,Leicester City,eng Premier League,0,,,0,0,38,,,,,,,,,,,,0,0,0,,,GK,d3ce0e89
395,Danny Ward,,2019-2020,26,wls WAL,Leicester City,eng Premier League,0,,,0,0,38,,,,,,,,,,,,0,0,0,,,GK,d3ce0e89
396,Danny Ward,,2020-2021,27,wls WAL,Leicester City,eng Premier League,0,,,0,0,38,,,,,,,,,,,,0,0,0,,,GK,d3ce0e89
397,Simon Mignolet,,2018-2019,30,be BEL,Liverpool,eng Premier League,0,,,0,0,37,,,,,,,,,,,,0,0,0,,,GK,d436eb94
398,Heurelho Gomes,,2018-2019,37,br BRA,Watford,eng Premier League,0,,,0,0,38,,,,,,,,,,,,0,0,0,,,GK,d596e193
399,Heurelho Gomes,,2019-2020,38,br BRA,Watford,eng Premier League,0,,,0,0,38,,,,,,,,,,,,0,0,0,,,GK,d596e193
400,Radek Vítek,,2023-2024,19,,Manchester Utd,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,d617bff6
